representative	size	n_dark	top_interpro	interpro_purity	n_annotated	disjoint_MF_pairs
Q9Y4X3	21	0	IPR036048	1.00	20	0
P23919	20	3	IPR027417	1.00	16	4
P11433	20	0	IPR001849	0.45	17	0
P53622	20	3	IPR015943	0.60	12	0
Q8IWY9	20	3	IPR001054	0.55	11	6
Q9VY04	20	5	IPR036188	1.00	10	9
P0C5Z0	19	1	IPR009072	1.00	16	9
Q9BVX2	19	4	IPR008983	0.26	12	0
Q04033	19	7	IPR000834	0.68	10	0
Q14683	19	0	IPR027417	0.84	17	15
Q969Y2	19	3	IPR027413	0.89	9	8
Q9UKU6	19	10	IPR027268	0.89	9	20
Q9W351	19	3	IPR015943	0.79	12	20
A0AQH0	19	1	IPR001353	1.00	17	0
Q12072	19	3	IPR003593	0.79	13	3
P08709	19	5	IPR001254	1.00	11	4
Q8IUZ0	18	2	IPR001611	1.00	8	0
Q8WV93	18	4	IPR027417	0.78	12	10
Q9W4W5	18	5	IPR006357	0.33	12	10
Q8TB96	18	2	IPR036322	0.56	14	0
Q96NG5	18	5	IPR036236	1.00	11	0
Q9GZP0	18	2	IPR029034	0.94	13	0
P00927	18	1	IPR041647	0.50	15	19
P38071	18	1	IPR036291	1.00	15	14
Q24472	18	2	IPR001033	0.22	14	0
Q6UWL2	18	2	IPR015943	0.50	13	0
A6NGN4	18	15	IPR032675	1.00	3	1
Q8IRD1	17	2	IPR027417	1.00	13	4
A8DYT7	17	12	IPR013818	1.00	4	0
Q5T6X5	17	2	IPR028082	0.94	13	6
Q96B02	17	4	IPR000608	1.00	12	1
M9PFU4	16	8	IPR032675	1.00	8	0
P23276	16	11	IPR000718	1.00	2	0
P32590	16	1	IPR029047	1.00	13	8
P58743	16	3	IPR011547	0.75	11	8
Q04062	16	1	IPR000717	0.81	14	0
P32364	16	1	IPR027640	0.56	15	25
Q9HCM9	16	3	IPR001870	1.00	13	4
Q96K78	16	1	IPR017981	0.94	15	4
O43264	15	2	IPR046362	0.20	10	0
Q49A17	15	1	IPR000772	1.00	13	0
Q6IA86	15	1	IPR015943	0.80	12	31
Q8T0Q4	15	2	IPR005024	0.73	13	10
Q14213	15	3	IPR013783	1.00	9	0
Q15019	15	0	IPR027417	0.93	14	0
Q9VII1	15	2	IPR045860	0.67	6	2
Q9W3L1	15	1	IPR016024	0.33	12	0
P54885	15	1	IPR016161	1.00	13	0
Q6UWM5	15	6	IPR035940	1.00	1	0
Q9VED6	15	2	IPR036525	1.00	9	15
Q9VLF6	15	5	IPR029063	0.87	9	6
P07347	15	5	IPR016181	1.00	9	4
Q9VA64	15	10	IPR011990	1.00	1	0
Q9VFA9	15	4	IPR038377	0.60	11	8
P0CF18	14	1	IPR001650	0.64	12	5
Q96FT7	14	5	IPR001873	1.00	8	3
Q9BR01	14	1	IPR027417	1.00	13	5
P10909	14	2	IPR050524	0.36	11	15
Q8TBR7	14	7	IPR002076	0.50	6	2
Q8NCM2	14	0	IPR001807	0.36	12	19
Q9H553	14	1	IPR037138	0.50	13	0
Q9VK14	14	2	IPR001353	1.00	11	0
P0C1H6	13	1	IPR009072	1.00	8	0
Q9BSA9	13	2	IPR004299	0.62	9	12
P53365	13	1	IPR032816	0.23	11	10
P53829	13	1	IPR011989	0.46	9	8
Q5SQN1	13	7	IPR011042	0.54	6	8
O15111	13	1	IPR011009	1.00	12	0
P01857	13	1	IPR013783	0.92	11	0
Q9VCR7	13	7	IPR053937	0.38	5	6
P38405	13	0	IPR011025	1.00	10	3
Q76MJ5	13	0	IPR000719	0.92	12	0
Q92914	13	0	IPR002209	0.85	11	8
A1Z991	12	2	IPR000566	0.58	8	0
P51689	12	0	IPR000917	1.00	11	0
Q96EF9	12	0	IPR036815	0.58	11	0
Q9BRJ2	12	4	IPR037231	0.75	8	0
Q9BSA4	12	1	IPR006990	0.27	8	11
Q9NFT7	12	2	IPR043129	1.00	10	5
Q14165	12	2	IPR013320	0.58	9	0
Q8NFV4	12	1	IPR029058	1.00	7	8
Q9W1G0	12	2	IPR013785	0.67	8	6
Q14566	12	0	IPR001208	1.00	12	0
Q9UKG1	12	0	IPR001849	0.67	12	15
Q9W4N5	12	5	IPR002018	1.00	7	0
A0A1W2PPE2	12	8	IPR009072	0.92	4	2
A1Z8I0	11	0	IPR011012	1.00	8	0
O75365	11	1	IPR029021	1.00	10	4
P46969	11	3	IPR013785	0.55	6	2
Q13190	11	1	IPR045242	0.36	10	8
Q8SXY6	11	2	IPR015720	1.00	7	6
Q8TCD5	11	2	IPR036412	1.00	8	0
Q0E8U4	11	2	IPR035994	0.91	7	1
Q9VW70	11	3	IPR002181	1.00	8	0
O15235	11	0	IPR012340	0.91	10	16
P36575	11	2	IPR014752	0.73	6	0
P83094	11	0	IPR003131	0.73	10	5
Q9VQL9	11	1	IPR029052	1.00	9	0
Q9VQT7	11	10	IPR036880	1.00	0	0
P41819	11	0	IPR029063	0.91	9	4
Q9VE49	11	4	IPR032675	0.82	2	0
A8DT49	11	11	IPR012932	0.33	0	0
P25385	11	1	IPR000727	0.55	8	6
Q7JVE7	11	3	IPR006603	0.40	5	5
Q8N1S5	11	5	IPR011701	0.45	5	3
O00160	10	1	IPR027417	0.70	7	2
Q07589	10	1	IPR008927	1.00	7	6
O15480	10	3	IPR037445	1.00	7	0
O15553	10	1	IPR001870	0.70	8	0
P05451	10	3	IPR001304	1.00	7	0
P12268	10	1	IPR036291	0.60	8	4
P38886	10	5	IPR027417	0.70	5	4
Q03942	10	3	IPR046341	1.00	6	5
Q8INY3	10	3	IPR002159	1.00	3	0
Q9GZT5	10	0	IPR043158	1.00	8	2
Q9H0R1	10	0	IPR028565	1.00	8	0
Q9H1Z9	10	1	IPR044878	0.50	6	6
Q14714	10	4	IPR007237	0.30	3	0
Q7KTF1	10	1	IPR050746	0.60	8	2
Q9VB76	10	6	IPR036398	1.00	4	0
A0A6M3QGH5	10	6	IPR026050	0.40	4	0
P31949	10	0	IPR013787	1.00	10	0
Q9Y282	10	3	IPR039542	0.50	7	6
E5RIL1	10	7	IPR000618	0.60	3	2
Q11203	10	0	IPR038578	1.00	10	0
Q99257	10	2	IPR012677	0.70	7	6
Q9HCL2	10	3	IPR011709	0.50	6	2
P55084	10	1	IPR016039	1.00	6	0
Q05871	10	3	IPR029045	1.00	5	2
Q6UW01	10	1	IPR001073	0.70	6	0
Q9VYB1	10	1	IPR011502	0.30	8	0
A6NC97	10	1	IPR029058	0.90	9	15
Q96JB5	10	3	IPR044880	0.56	5	3
Q9H4D0	10	1	IPR013783	0.80	7	2
Q9V931	10	7	IPR036728	1.00	1	0
Q9V9V4	10	6	IPR001251	1.00	3	0
Q9VG61	10	4	IPR000210	0.50	6	8
Q86BJ3	9	2	IPR027417	0.89	6	4
Q8IVF7	9	0	IPR011989	0.78	9	0
P38935	9	0	IPR014001	1.00	8	0
P27487	9	0	IPR001375	1.00	9	3
Q0E8U2	9	2	IPR050352	1.00	6	2
Q9NU02	9	2	IPR036770	1.00	7	0
Q9UKF5	9	0	IPR001762	1.00	9	3
Q9VUZ0	9	1	IPR013783	0.78	5	0
Q9W4B6	9	1	IPR008253	0.89	6	0
O14610	9	1	IPR001770	1.00	8	3
O75928	9	0	IPR011009	0.67	9	0
P0CX09	9	0	IPR036291	1.00	8	0
Q5W0U4	9	2	IPR013320	1.00	6	0
Q9NZI2	9	3	IPR002048	0.67	5	0
Q9V3E4	9	3	IPR029044	0.62	5	0
Q9VEK8	9	2	IPR032675	1.00	4	0
Q9VEM4	9	2	IPR039551	1.00	5	2
Q9Y6F1	9	0	IPR038765	0.67	9	0
O43822	9	3	IPR001611	1.00	5	0
Q5BJF6	9	1	IPR019323	0.22	7	0
Q9UJA9	9	5	IPR017850	1.00	3	1
Q9VKN8	9	0	IPR001594	1.00	3	0
Q9VKP7	9	2	IPR001461	1.00	4	0
A1Z8V7	8	1	IPR001594	0.50	7	8
M9PDX8	8	1	IPR000402	1.00	6	1
P43220	8	0	IPR017981	1.00	7	0
Q06510	8	1	IPR002123	0.50	7	0
Q06685	8	0	IPR011761	0.38	8	3
Q8IQI5	8	1	IPR029058	1.00	6	0
Q96GM1	8	1	IPR036938	0.62	5	0
Q9Y227	8	0	IPR000407	1.00	8	0
O15498	8	1	IPR011012	1.00	6	0
P46948	8	0	IPR027408	1.00	7	0
P46951	8	0	IPR011990	0.88	6	3
Q6NS38	8	2	IPR037151	0.38	5	0
Q8NFQ6	8	3	IPR017943	1.00	3	0
P28241	8	1	IPR024084	1.00	7	0
P53881	8	1	IPR011333	0.62	7	0
P53883	8	0	IPR036028	0.25	8	0
Q9BXA6	8	1	IPR000719	1.00	6	0
P32119	8	1	IPR036249	1.00	7	2
Q9Y2S7	8	3	IPR000008	0.50	4	3
P03962	8	0	IPR013785	0.50	8	2
P38147	8	0	IPR000719	1.00	8	2
P49448	8	0	IPR046346	0.88	6	0
P83972	8	5	IPR019799	1.00	1	0
Q00341	8	1	IPR036465	0.88	3	3
Q8N9B4	8	2	IPR036770	1.00	4	0
Q9VC06	8	3	IPR045090	0.75	5	0
Q9VR06	8	0	IPR029021	0.88	6	0
Q9VR51	8	6	IPR016181	1.00	2	0
Q9W0F0	8	3	IPR004942	0.75	4	0
Q9W122	8	0	IPR006026	1.00	7	2
Q04748	8	0	IPR049452	0.62	8	14
Q8MR62	8	3	IPR036249	1.00	5	6
Q8MSU3	8	0	IPR015621	0.62	8	5
O43813	8	3	IPR020464	0.50	5	0
P07806	8	0	IPR009080	1.00	7	0
Q8WZ82	8	1	IPR029058	1.00	5	0
Q9VKE7	8	3	IPR002350	1.00	3	0
A1Z8E9	7	2	IPR011990	1.00	2	0
M9PEP7	7	6	IPR002557	1.00	1	0
P43588	7	1	IPR037518	1.00	5	0
Q8WUX9	7	0	IPR027267	0.86	7	0
P11150	7	1	IPR000734	1.00	6	0
P11844	7	1	IPR050252	1.00	6	0
Q13568	7	0	IPR008984	1.00	7	0
Q14019	7	1	IPR002108	1.00	6	8
Q6NUT2	7	1	IPR018732	0.43	2	0
Q9H0R8	7	2	IPR004241	1.00	5	0
Q9VMQ5	7	1	IPR036188	1.00	5	0
Q9VN45	7	4	IPR004240	0.57	2	0
Q9W245	7	2	IPR036188	1.00	5	0
P27216	7	1	IPR018502	1.00	6	0
P29033	7	0	IPR017990	1.00	7	4
P40319	7	2	IPR002076	1.00	4	0
Q0E8G6	7	4	IPR015797	1.00	2	0
Q9BZG2	7	3	IPR029033	1.00	3	0
Q9NR34	7	1	IPR012341	1.00	5	0
Q9VJ90	7	0	IPR000719	1.00	6	0
A0A8I5KTY6	7	1	IPR036236	1.00	6	0
P10599	7	3	IPR036249	1.00	3	0
P01909	7	0	IPR007110	1.00	5	0
P02994	7	3	IPR027417	1.00	4	0
P20851	7	0	IPR006628	0.29	7	0
P38211	7	1	IPR004856	0.57	4	0
P49675	7	1	IPR010591	0.29	5	3
Q0P6D2	7	3	IPR011009	0.71	1	0
Q12040	7	0	IPR013078	1.00	4	0
Q86XE0	7	3	IPR001683	1.00	4	0
Q8N7P1	7	2	IPR001736	0.57	3	0
Q9VC57	7	1	IPR027417	1.00	6	0
Q9VCZ8	7	0	IPR009053	0.86	7	6
P55061	7	2	IPR006214	1.00	4	3
Q9Y536	7	2	IPR029000	1.00	3	1
O43913	7	0	IPR027417	1.00	7	0
O60762	7	2	IPR029044	0.86	5	2
P24863	7	1	IPR036915	0.71	6	0
P25167	7	1	IPR007121	1.00	5	0
P26378	7	0	IPR000504	0.86	7	0
P52911	7	0	IPR017853	1.00	6	4
P53295	7	3	IPR027417	1.00	2	0
Q02725	7	0	IPR000980	0.57	7	0
Q15283	7	0	IPR035892	0.71	7	7
Q6ZSI9	7	3	IPR038765	1.00	3	0
Q8N6M3	7	1	IPR036938	0.57	5	3
Q9H765	7	0	IPR002110	1.00	7	8
P09601	6	1	IPR038770	0.50	4	0
P36060	6	1	IPR017927	1.00	5	0
P43542	6	1	IPR001142	1.00	1	0
P43616	6	3	IPR002933	1.00	3	0
P62314	6	0	IPR001163	1.00	4	0
Q06505	6	0	IPR036282	0.40	4	0
Q06609	6	0	IPR016467	1.00	6	0
Q06682	6	1	IPR001012	1.00	5	0
Q08058	6	2	IPR023393	0.67	4	0
Q8IRR5	6	0	IPR036152	0.67	5	0
Q8WTQ1	6	4	IPR025933	0.50	2	1
Q96GC9	6	0	IPR002229	0.67	4	0
Q9I7J0	6	1	IPR036872	1.00	5	0
Q9W588	6	4	IPR007248	1.00	0	0
Q9Y221	6	2	IPR002478	1.00	4	0
A1ZAQ4	6	0	IPR011993	0.67	4	1
O15457	6	0	IPR027417	1.00	4	0
O75473	6	1	IPR000276	1.00	5	1
P13473	6	0	IPR048528	0.50	6	0
P17972	6	1	IPR003131	0.67	5	2
P39533	6	0	IPR018136	1.00	6	3
P46971	6	0	IPR016093	1.00	5	1
Q13561	6	0	IPR039008	0.83	6	0
Q30KQ1	6	4	IPR025933	0.83	2	0
Q49MI3	6	0	IPR050187	1.00	6	2
Q8NEK8	6	0	IPR024810	0.50	6	0
Q8NFZ4	6	0	IPR019819	0.83	4	0
Q96MK3	6	0	IPR024869	0.33	4	1
Q9GZS9	6	2	IPR027417	1.00	4	1
A0A0B4KFZ1	6	2	IPR000425	1.00	3	0
P14618	6	1	IPR040442	0.83	5	0
P14741	6	0	IPR000649	1.00	4	1
P26583	6	1	IPR036910	1.00	4	0
P40169	6	2	IPR009571	0.40	1	0
Q14651	6	0	IPR011992	1.00	5	0
Q5GAN4	6	1	IPR023412	1.00	5	0
Q7KN92	6	0	IPR029044	1.00	5	0
Q9NRE1	6	4	IPR006026	1.00	1	0
Q9UN19	6	1	IPR001849	0.67	5	0
Q9VHV9	6	3	IPR036928	1.00	3	0
Q9VUX8	6	6	IPR002557	1.00	0	0
Q9W3G8	6	3	IPR012349	1.00	3	0
Q9W452	6	4	IPR009003	1.00	2	0
A1Z6L1	6	0	IPR023614	1.00	5	0
P40560	6	1	IPR002110	1.00	3	0
Q9Y2R9	6	0	IPR036823	1.00	6	4
P04003	6	1	IPR000436	1.00	5	4
P20459	6	0	IPR024054	0.33	5	0
P22079	6	1	IPR037120	1.00	4	0
P38074	6	2	IPR029063	1.00	4	0
Q12198	6	1	IPR015421	1.00	5	0
Q24133	6	2	IPR008971	1.00	4	0
Q5VYY1	6	2	IPR036770	1.00	4	0
Q86SQ3	6	4	IPR017981	1.00	2	0
Q8N8Q8	6	0	IPR001708	0.33	5	3
Q99316	6	0	IPR036249	1.00	6	4
Q9BQL6	6	0	IPR035963	1.00	3	0
Q9HAU4	6	0	IPR000569	1.00	5	0
Q9NZW5	6	0	IPR001478	1.00	4	0
Q9P000	6	2	IPR017920	1.00	4	0
Q9VQ79	6	0	IPR023753	0.83	3	0
Q05473	6	1	IPR027417	0.83	4	0
Q9V3W6	6	0	IPR000990	0.83	4	3
Q9V4B8	6	1	IPR000742	1.00	5	2
Q9VKY4	6	2	IPR038765	1.00	4	0
Q9VTI5	6	3	IPR000362	1.00	3	0
Q9VXY3	6	0	IPR011053	1.00	4	0
A6XGL0	6	2	IPR013785	0.33	3	2
P24666	6	2	IPR036196	0.83	4	0
P38628	6	1	IPR016055	1.00	4	0
Q02870	6	0	IPR035490	0.67	6	2
Q16560	6	1	IPR000504	1.00	3	0
Q16619	6	0	IPR009079	1.00	6	0
Q70IA6	6	1	IPR036703	1.00	4	0
Q712K3	6	0	IPR016135	1.00	6	2
Q8N5C1	6	1	IPR029569	0.83	4	0
Q96I59	6	0	IPR004365	1.00	6	0
Q96KC8	6	1	IPR001005	0.67	3	0
Q96LU5	6	0	IPR036286	1.00	4	0
Q9NX24	6	0	IPR029064	1.00	5	2
Q9VWW1	6	2	IPR006680	1.00	4	2
A0A0B4K5Z8	5	0	IPR006896	1.00	4	0
A1Z6P3	5	0	IPR027328	1.00	5	0
A1Z875	5	5	IPR052295	1.00	0	0
M9PEV1	5	2	IPR036397	0.75	2	0
O95427	5	1	IPR017850	1.00	4	0
O95870	5	1	IPR029058	1.00	4	0
P35813	5	3	IPR015655	1.00	2	0
P62244	5	0	IPR000630	1.00	5	0
P62495	5	0	IPR005142	1.00	5	0
P62942	5	1	IPR046357	1.00	4	0
P80303	5	1	IPR034913	0.60	4	0
Q07955	5	0	IPR035979	1.00	4	0
Q7Z4G4	5	1	IPR029063	1.00	4	0
Q8IQ06	5	3	IPR002223	1.00	1	0
Q8IUB2	5	1	IPR008197	0.40	4	0
Q96CS4	5	3	IPR001909	1.00	2	0
Q96EQ0	5	1	IPR011990	1.00	4	0
Q9BVK8	5	1	IPR009294	0.60	3	0
Q9NIV2	5	2	IPR035991	1.00	3	0
P05014	5	1	IPR000471	1.00	4	0
P13060	5	1	IPR027417	1.00	2	0
P32898	5	0	IPR011249	1.00	4	3
P32970	5	0	IPR008983	1.00	5	0
P33333	5	2	IPR002123	1.00	3	0
P47144	5	2	IPR044880	0.40	1	0
Q04372	5	3	IPR038511	0.75	2	0
Q2VIQ3	5	0	IPR001752	1.00	4	0
Q8IPD8	5	5	IPR051217	1.00	0	0
Q8NFF5	5	0	IPR027417	0.80	3	0
Q96PB1	5	4	IPR002656	0.60	1	0
Q9VMC6	5	2	IPR006091	1.00	2	0
A0A0B4KEG0	5	1	IPR016064	1.00	4	0
Q08722	5	1	IPR003734	0.40	2	0
Q08881	5	0	IPR000719	1.00	5	0
Q5JU69	5	0	IPR027417	1.00	4	2
Q7L5D6	5	2	IPR011990	1.00	3	0
Q9BZL1	5	0	IPR029071	1.00	5	4
Q9NQR9	5	0	IPR036938	0.60	4	0
Q9NR97	5	1	IPR001611	1.00	3	0
Q9NV35	5	0	IPR000086	1.00	5	0
Q9VBG7	5	1	IPR001884	0.80	3	1
Q9VIT6	5	2	IPR006593	1.00	3	2
Q9VV77	5	0	IPR001841	0.40	3	0
Q9W333	5	3	IPR029159	0.50	2	0
Q9W395	5	1	IPR015943	0.60	2	0
Q9W3B3	5	3	IPR036108	0.80	2	0
Q9W3J5	5	0	IPR045864	1.00	5	1
P0CX11	5	0	IPR029017	1.00	4	0
P31116	5	0	IPR036291	1.00	4	2
P31323	5	0	IPR000595	0.60	5	0
P32383	5	0	IPR035892	1.00	5	3
Q9VXF6	5	2	IPR013320	0.80	3	3
Q9Y2B0	5	0	IPR021852	1.00	4	3
Q9Y2U2	5	1	IPR013099	1.00	4	0
Q9Y2Y1	5	2	IPR001222	1.00	2	0
Q9Y2Y6	5	0	IPR000245	0.60	5	4
Q9Y3B1	5	1	IPR006797	1.00	4	0
P02517	5	0	IPR008978	1.00	4	2
P04046	5	1	IPR029055	1.00	2	0
P04406	5	0	IPR036291	1.00	5	0
P36149	5	0	IPR007194	1.00	5	0
Q0JRZ9	5	0	IPR019522	0.40	4	0
Q86W25	5	1	IPR011029	1.00	4	0
Q86XS8	5	1	IPR046450	1.00	2	0
Q99735	5	1	IPR023352	1.00	4	0
Q99828	5	0	IPR002048	1.00	4	0
Q9H819	5	1	IPR036869	1.00	2	0
Q9VCK1	5	3	IPR004911	1.00	1	0
Q9VQR3	5	0	IPR027417	1.00	4	0
Q9VQU3	5	4	IPR013784	1.00	1	0
Q9W106	5	3	IPR009003	1.00	1	0
P54399	5	0	IPR013766	1.00	3	0
P55263	5	3	IPR029056	1.00	1	0
Q06252	5	2	IPR035810	1.00	1	0
Q9V3T9	5	1	IPR036188	1.00	3	0
Q9VLH9	5	1	IPR011682	1.00	4	3
Q9VYW6	5	0	IPR022764	0.80	5	4
Q9VZ55	5	1	IPR011709	1.00	4	0
Q9VZE9	5	3	IPR008389	1.00	2	0
Q9Y6K0	5	0	IPR014472	0.80	4	0
O60688	5	1	IPR039058	1.00	2	0
O60725	5	2	IPR001104	0.60	3	0
P07277	5	0	IPR014721	1.00	5	3
P07703	5	0	IPR011262	1.00	5	0
P38430	5	2	IPR032466	0.60	2	0
Q15256	5	0	IPR000719	0.60	5	0
Q8WZ79	5	1	IPR029069	0.60	4	0
Q92759	5	1	IPR055207	0.60	4	0
Q96J94	5	0	IPR003165	1.00	5	0
Q9H4A5	5	0	IPR038261	0.40	4	0
Q9VFB2	5	0	IPR027486	0.80	5	3
Q9VKF6	5	2	IPR026028	0.80	3	0
Q9VRV2	5	1	IPR003020	0.60	3	0
O95498	4	1	IPR040154	1.00	3	0
O95968	4	2	IPR016126	1.00	2	0
P09172	4	1	IPR036939	1.00	2	0
P09327	4	0	IPR007122	1.00	4	3
P23193	4	1	IPR001222	1.00	3	0
P36008	4	0	IPR036282	0.50	4	0
P49858	4	0	IPR003377	1.00	4	0
P50876	4	1	IPR013083	0.50	3	0
P50882	4	1	IPR036789	0.50	3	2
P51854	4	1	IPR009014	1.00	2	0
P62987	4	0	IPR019956	1.00	4	0
P63165	4	0	IPR029071	1.00	2	0
P69892	4	0	IPR000971	1.00	4	0
Q06592	4	0	IPR016181	1.00	4	0
Q7Z3Z0	4	1	IPR039008	0.75	3	0
Q7Z4R8	4	1	IPR008979	0.50	2	0
Q8IR95	4	3	IPR029277	1.00	0	0
Q8IUF8	4	0	IPR005123	0.75	4	0
Q8IVD9	4	1	IPR008978	1.00	3	0
Q8WUN7	4	1	IPR029071	1.00	3	0
Q96CX6	4	3	IPR001611	1.00	1	0
Q96EP0	4	3	IPR013087	0.75	1	0
Q9BUL9	4	1	IPR036882	1.00	3	0
Q9Y240	4	0	IPR001304	1.00	4	0
Q9Y265	4	0	IPR027238	1.00	4	0
A1ZA77	4	1	IPR008506	0.50	2	0
A1ZBR8	4	4	IPR006631	1.00	0	0
O16130	4	0	IPR000077	1.00	4	1
O43395	4	1	IPR027104	0.50	1	0
O43482	4	2	IPR011057	0.75	2	0
O75342	4	0	IPR036226	1.00	4	0
P06865	4	0	IPR015883	1.00	4	0
P11412	4	1	IPR036291	1.00	3	0
P17050	4	0	IPR017853	1.00	4	0
P17719	4	0	IPR012259	1.00	4	0
P18074	4	1	IPR045028	1.00	2	0
P32776	4	1	IPR005607	0.75	2	0
P39012	4	0	IPR027094	0.50	4	2
P39515	4	1	IPR005678	1.00	2	0
P46957	4	0	IPR007185	1.00	3	0
P46976	4	0	IPR029044	1.00	4	0
P46988	4	1	IPR002777	1.00	2	0
P46989	4	0	IPR009011	0.75	4	3
P47712	4	0	IPR016035	1.00	4	0
Q6IA17	4	0	IPR015621	0.25	3	0
Q8ING0	4	2	IPR001314	1.00	0	0
Q8TD19	4	1	IPR000719	0.50	2	0
Q9C0D3	4	0	IPR032675	1.00	4	3
Q9H299	4	1	IPR036249	1.00	2	0
Q9VMD2	4	2	IPR008521	0.75	2	0
Q9VME7	4	4	IPR002181	1.00	0	0
Q9VMR8	4	0	IPR010825	1.00	0	0
Q9VMR9	4	1	IPR001792	0.75	3	2
Q9W2G5	4	1	IPR002893	0.33	2	0
A0A0B4K7K5	4	4	-	0.00	0	0
A0A0B4LGH8	4	1	IPR000648	1.00	3	0
A0A0S0WGR0	4	3	IPR007248	0.50	0	0
A8MUM7	4	1	IPR013320	1.00	3	0
A8QI13	4	1	IPR000504	0.75	2	0
P01037	4	0	IPR000010	1.00	3	0
P15498	4	1	IPR036028	1.00	3	0
P26842	4	0	IPR001368	1.00	4	0
P28838	4	0	IPR000819	1.00	1	0
P29597	4	0	IPR000719	1.00	4	0
P30044	4	0	IPR036249	1.00	4	0
P53728	4	0	IPR029000	0.75	3	0
P53875	4	0	IPR036769	1.00	4	0
Q08209	4	0	IPR043360	1.00	4	0
Q08496	4	0	IPR011990	0.75	4	0
Q08J23	4	0	IPR029063	1.00	4	0
Q15116	4	1	IPR007110	0.50	2	0
Q5T0N1	4	1	IPR019734	0.50	2	0
Q5T9A4	4	1	IPR003593	0.25	2	0
Q5TA45	4	0	IPR022712	1.00	4	0
Q7KTX7	4	0	IPR029071	1.00	4	0
Q969Z0	4	1	IPR013584	1.00	2	0
Q9BXM9	4	1	IPR013320	0.50	3	0
Q9NSN8	4	0	IPR001478	1.00	3	0
Q9ULW3	4	1	IPR040637	0.75	3	0
Q9UMW8	4	0	IPR038765	1.00	4	0
Q9VBC2	4	4	IPR036508	1.00	0	0
Q9VI58	4	0	IPR054708	0.50	4	1
Q9VNP8	4	0	IPR036465	1.00	3	0
