accession	family	scan_scope	status	missing_motifs	catalytic_CA_distance_A	experimental_catalytic_GO	known_pseudo
O08644	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O14936	kinase	domain	pseudo-candidate	DFG	-	yes	-
O15197	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O22138	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O22178	kinase	domain	pseudo-candidate	HRD	-	no	-
O22808	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O22938	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O35491	kinase	domain	pseudo-candidate	HRD	-	yes	-
O35492	kinase	domain	pseudo-candidate	HRD	-	yes	-
O35493	kinase	domain	pseudo-candidate	HRD	-	yes	-
O43293	kinase	domain	pseudo-candidate	HRD	-	yes	-
O43781	kinase	domain	pseudo-candidate	HRD	-	yes	-
O48788	kinase	domain	pseudo-candidate	HRD	-	no	-
O48814	kinase	domain	pseudo-candidate	HRD	-	yes	-
O48963	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
O49339	kinase	domain	pseudo-candidate	DFG	-	no	-
O49654	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O49839	kinase	domain	pseudo-candidate	HRD	-	no	-
O49840	kinase	domain	pseudo-candidate	HRD	-	no	-
O54781	kinase	domain	pseudo-candidate	HRD	-	yes	-
O54784	kinase	domain	pseudo-candidate	HRD	-	yes	-
O55047	kinase	domain	pseudo-candidate	HRD	-	no	-
O55222	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O60674	kinase	domain	pseudo-candidate	HRD	-	yes	-
O64682	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
O64741	kinase	domain	pseudo-candidate	HRD	-	yes	-
O64798	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O64825	kinase	domain	pseudo-candidate	DFG	-	no	-
O64842	kinase	domain	pseudo-candidate	HRD	-	no	-
O65924	kinase	domain	pseudo-candidate	HRD	-	no	-
O70293	kinase	domain	pseudo-candidate	HRD	-	yes	-
O70551	kinase	domain	pseudo-candidate	HRD	-	yes	-
O70589	kinase	domain	pseudo-candidate	DFG	-	no	-
O75676	kinase	domain	pseudo-candidate	HRD	-	yes	-
O80719	kinase	domain	pseudo-candidate	DFG	-	yes	-
O80778	kinase	domain	pseudo-candidate	HRD	-	no	-
O80888	kinase	domain	pseudo-candidate	HRD	-	no	-
O81064	kinase	domain	pseudo-candidate	HRD	-	no	-
O82318	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
O94768	kinase	domain	pseudo-candidate	HRD	-	yes	-
P00536	kinase	domain	pseudo-candidate	HRD	-	no	-
P00540	kinase	domain	pseudo-candidate	HRD	-	no	-
P05129	kinase	domain	pseudo-candidate	HRD	-	yes	-
P05130	kinase	domain	pseudo-candidate	HRD	-	yes	-
P05132	kinase	domain	pseudo-candidate	HRD	-	yes	-
P05771	kinase	domain	pseudo-candidate	HRD	-	yes	-
P05986	kinase	domain	pseudo-candidate	HRD	-	yes	-
P06244	kinase	domain	pseudo-candidate	HRD	-	yes	-
P06245	kinase	domain	pseudo-candidate	HRD	-	yes	-
P0C605	kinase	domain	pseudo-candidate	HRD	-	yes	-
P12370	kinase	domain	pseudo-candidate	HRD	-	yes	-
P12688	kinase	domain	pseudo-candidate	HRD	-	yes	-
P13677	kinase	domain	pseudo-candidate	HRD	-	no	-
P13678	kinase	domain	pseudo-candidate	HRD	-	no	-
P16054	kinase	domain	pseudo-candidate	HRD	-	yes	-
P16066	kinase	domain	pseudo-candidate	HRD	-	no	-
P17252	kinase	domain	pseudo-candidate	HRD	-	yes	-
P17612	kinase	domain	pseudo-candidate	HRD	-	yes	-
P18293	kinase	domain	pseudo-candidate	HRD	-	no	-
P18653	kinase	domain	pseudo-candidate	HRD	-	no	-
P18654	kinase	domain	pseudo-candidate	HRD	-	yes	-
P18961	kinase	domain	pseudo-candidate	HRD	-	yes	-
P20444	kinase	domain	pseudo-candidate	HRD	-	yes	-
P20594	kinase	domain	pseudo-candidate	HRD	-	no	-
P21860	kinase	domain	pseudo-candidate	HRD	-	yes	ERBB3
P22518	kinase	domain	pseudo-candidate	HRD	-	yes	-
P22694	kinase	domain	pseudo-candidate	HRD	-	yes	-
P23291	kinase	domain	pseudo-candidate	HRD	-	yes	-
P23292	kinase	domain	pseudo-candidate	HRD	-	yes	-
P23298	kinase	domain	pseudo-candidate	HRD	-	no	-
P23443	kinase	domain	pseudo-candidate	HRD	-	yes	-
P23458	kinase	domain	pseudo-candidate	DFG	-	yes	-
P24583	kinase	domain	pseudo-candidate	HRD	-	yes	-
P24723	kinase	domain	pseudo-candidate	HRD	-	yes	-
P25092	kinase	domain	pseudo-candidate	HRD	-	no	-
P25098	kinase	domain	pseudo-candidate	HRD	-	yes	-
P27450	kinase	domain	pseudo-candidate	HRD	-	yes	-
P28867	kinase	domain	pseudo-candidate	DFG	-	yes	-
P29597	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
P31749	kinase	domain	pseudo-candidate	HRD	-	yes	-
P31750	kinase	domain	pseudo-candidate	HRD	-	yes	-
P31751	kinase	domain	pseudo-candidate	HRD	-	yes	-
P32298	kinase	domain	pseudo-candidate	HRD	-	yes	-
P32350	kinase	domain	pseudo-candidate	HRD	-	yes	-
P32865	kinase	domain	pseudo-candidate	HRD	-	yes	-
P32866	kinase	domain	pseudo-candidate	HRD	-	yes	-
P33543	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
P34925	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
P34947	kinase	domain	pseudo-candidate	HRD	-	yes	-
P35626	kinase	domain	pseudo-candidate	HRD	-	yes	-
P36102	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
P38070	kinase	domain	pseudo-candidate	HRD	-	yes	-
P39962	kinase	domain	pseudo-candidate	HRD	-	yes	-
P41279	kinase	domain	pseudo-candidate	HRD	-	yes	-
P41743	kinase	domain	pseudo-candidate	HRD	-	yes	-
P43250	kinase	domain	pseudo-candidate	HRD	-	yes	-
P43293	kinase	domain	pseudo-candidate	HRD	-	no	-
P46573	kinase	domain	pseudo-candidate	HRD	-	no	-
P49336	kinase	domain	pseudo-candidate	DFG	-	yes	-
P49759	kinase	domain	pseudo-candidate	HRD	-	yes	-
P49760	kinase	domain	pseudo-candidate	HRD	-	yes	-
P49761	kinase	domain	pseudo-candidate	HRD	-	no	-
P51566	kinase	domain	pseudo-candidate	HRD	-	no	-
P51567	kinase	domain	pseudo-candidate	HRD	-	yes	-
P51568	kinase	domain	pseudo-candidate	HRD	-	yes	-
P51812	kinase	domain	pseudo-candidate	HRD	-	yes	-
P51817	kinase	domain	pseudo-candidate	HRD	-	yes	-
P51841	kinase	domain	pseudo-candidate	HRD	-	no	-
P52332	kinase	domain	pseudo-candidate	DFG	-	yes	-
P52333	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
P52785	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
P53009	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
P57078	kinase	domain	pseudo-candidate	HRD	-	no	-
P63318	kinase	domain	pseudo-candidate	HRD	-	yes	-
P68181	kinase	domain	pseudo-candidate	HRD	-	yes	-
P68404	kinase	domain	pseudo-candidate	HRD	-	yes	-
P70268	kinase	domain	pseudo-candidate	HRD	-	yes	-
P78362	kinase	domain	pseudo-candidate	HRD	-	yes	-
P78368	kinase	domain	pseudo-candidate	HRD	-	yes	-
P83098	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
P83099	kinase	domain	pseudo-candidate	HRD	-	yes	-
P83103	kinase	domain	pseudo-candidate	DFG	-	yes	-
P93025	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
P93749	kinase	domain	pseudo-candidate	DFG	-	yes	-
P93752	kinase	domain	pseudo-candidate	HRD	-	no	-
P93753	kinase	domain	pseudo-candidate	DFG	-	no	-
P93754	kinase	domain	pseudo-candidate	HRD	-	no	-
Q01887	kinase	domain	pseudo-candidate	DFG	-	no	-
Q02111	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q02156	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q02846	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q02956	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q03042	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q03785	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q04759	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q05513	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q05655	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q05823	kinase	domain	pseudo-candidate	HRD	-	no	-
Q05921	kinase	domain	pseudo-candidate	HRD	-	no	-
Q06098	kinase	domain	pseudo-candidate	DFG	-	no	-
Q06548	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q06BH3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q07553	kinase	domain	pseudo-candidate	HRD	-	no	-
Q0WR59	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q0WRY5	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q0WSK8	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q12196	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q12505	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q13237	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q13308	kinase	domain	pseudo-candidate	HRD	-	no	PTK7
Q13418	kinase	domain	pseudo-candidate	HRD;DFG	-	no	ILK
Q13976	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q15349	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q15418	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q15831	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q15835	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q16512	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q16513	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q1PDV6	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q1PE89	kinase	domain	pseudo-candidate	HRD	-	no	-
Q24210	kinase	domain	pseudo-candidate	DFG	-	no	-
Q24592	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q27324	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q39203	kinase	domain	pseudo-candidate	HRD	-	no	-
Q39238	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q3E8J4	kinase	domain	pseudo-candidate	HRD	-	no	-
Q3E900	kinase	domain	pseudo-candidate	HRD	-	no	-
Q3E909	kinase	domain	pseudo-candidate	HRD	-	no	-
Q3E991	kinase	domain	pseudo-candidate	DFG	-	no	-
Q3ECH2	kinase	domain	pseudo-candidate	HRD	-	no	-
Q3TUA9	kinase	domain	pseudo-candidate	DFG	-	no	-
Q3U3Q1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q3UHL1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q3UUJ4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q3UWA6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q3UYH7	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q3V129	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q504Y2	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q5HZ38	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q5JZY3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q5RJI4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q5SDA5	kinase	domain	pseudo-candidate	HRD	-	no	-
Q5SUV5	kinase	domain	pseudo-candidate	HRD	-	no	-
Q5U4C9	kinase	domain	pseudo-candidate	HRD	-	no	-
Q5XF79	kinase	domain	pseudo-candidate	HRD	-	no	-
Q60823	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q61410	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q62074	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q62120	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q62137	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q64FQ2	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q6AWJ9	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q6J9G0	kinase	domain	pseudo-candidate	DFG	-	no	-
Q6P3W7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q6P5Z2	kinase	domain	pseudo-candidate	HRD	-	no	-
Q6PHR2	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q6R2J8	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q6R2K1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q6R2K2	kinase	domain	pseudo-candidate	HRD	-	no	-
Q6R2K3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q6TL19	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q6VVW5	kinase	domain	pseudo-candidate	HRD	-	no	-
Q7FK82	kinase	domain	pseudo-candidate	DFG	-	no	-
Q7RTN6	kinase	domain	pseudo-candidate	HRD;DFG	-	no	STRADA
Q7TNL3	kinase	domain	pseudo-candidate	DFG	-	no	-
Q7TPS0	kinase	domain	pseudo-candidate	HRD	-	no	-
Q7XJT7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q7Z7A4	kinase	domain	pseudo-candidate	HRD	-	no	-
Q84JQ4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q86UE8	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q86UX6	kinase	domain	pseudo-candidate	DFG	-	no	-
Q86YV6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8BGW6	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8BKG3	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8BSK8	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q8BWW9	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8BX57	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8BYG9	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8BZ25	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8C4X2	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8CFE4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8GXZ3	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8GY82	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q8H186	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8H1G6	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q8INB9	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q8IV63	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	VRK3
Q8K3G5	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8K4K2	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8K4K3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8K4K4	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8K4T3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8L617	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q8LFN2	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8LGB6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8LPS5	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8MLX0	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8N2I9	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8NB16	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8NFD2	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8QZV4	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8R3L8	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8RWX4	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q8RWZ1	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8RWZ5	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q8S8S7	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8S9D1	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8TEA7	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8VD65	kinase	domain	pseudo-candidate	DFG	-	no	-
Q8VDF3	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8VEB1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q8VZF4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8W4L3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q8WTQ7	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q8WU08	kinase	domain	pseudo-candidate	DFG	-	no	-
Q91V36	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q922R0	kinase	domain	pseudo-candidate	HRD	-	no	-
Q922Y0	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q92519	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q92630	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q93V58	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q93Y06	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q944A7	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q94533	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q94A51	kinase	domain	pseudo-candidate	HRD	-	no	-
Q94BM7	kinase	domain	pseudo-candidate	beta3K;HRD;DFG	-	no	-
Q94C77	kinase	domain	pseudo-candidate	HRD	-	no	-
Q96BR1	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q96C45	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q96KB5	kinase	domain	pseudo-candidate	DFG	-	no	-
Q96KG9	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q96QS6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q96RU7	kinase	domain	pseudo-candidate	beta3K;DFG	-	no	TRIB3
Q96RU8	kinase	domain	pseudo-candidate	HRD	-	no	TRIB1
Q96SB4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q99570	kinase	domain	pseudo-candidate	DFG	-	no	-
Q99640	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q99J45	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q99MK8	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q99MW1	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q9ASS4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9BWU1	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q9BXA7	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q9BXU1	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9C0K7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9C5S2	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9C823	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9C8M5	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9C8M9	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9C9E4	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9C9H8	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9C9N5	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9C9Y8	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9D0L4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9D2Y4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9DBQ7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9EQC5	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9ERE3	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9ERK0	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q9ESG9	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9FE20	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9FF29	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9FG24	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9FG74	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q9FGG7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9FGN6	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9FHA5	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9FHD7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9FHK7	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9FID5	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9FID6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9FIL1	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9FK10	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9FK63	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9FL28	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9FL63	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9FLL2	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9FM85	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9FMD7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9FMI2	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9FNL4	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9FRI1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9FYC5	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9H5K3	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9HAZ1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9HBY8	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9HCP0	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9JJ78	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q9JJX8	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9LFD0	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LFL6	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LFL7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LFP7	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9LJR3	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LJY0	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LMK8	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9LNK3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LP77	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LPT1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LQQ8	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LRT1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LRY1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LS26	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LSE1	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9LSF1	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q9LSI9	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LT38	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LTC0	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9LU47	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9LUK3	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LUL2	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LUL4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LUT0	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q9LV04	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LVI6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LVM0	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LVN2	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LY03	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9LYN6	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LYU7	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9LZF8	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9M1L7	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q9M1Q2	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q9M2R4	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9M324	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9M8T0	kinase	domain	pseudo-candidate	HRD	-	no	-
