accession	best_TM_PDB	best_TM_KB	best_TM_any	mean_pLDDT	n_interpro	hypothesis_tier
Q5T6L9	0.302	0.000	0.302	90.8	3	-
B2RXF0	0.305	0.000	0.305	79.0	1	-
A0A0B4K7M8	0.307	0.000	0.307	80.1	0	-
P0CX18	0.309	0.000	0.309	73.7	0	-
Q9V3B5	0.316	0.000	0.316	82.8	2	-
Q9VVF2	0.322	0.000	0.322	78.1	1	-
Q5VVB8	0.324	0.000	0.324	84.3	1	-
Q6UXQ4	0.324	0.000	0.324	71.9	1	-
Q6ZUK4	0.328	0.000	0.328	77.5	1	-
M9NFE3	0.331	0.000	0.331	81.2	1	-
A8DY63	0.332	0.000	0.332	82.5	1	HIGH
Q8IPG8	0.333	0.000	0.333	85.6	0	-
P40083	0.335	0.000	0.335	78.7	1	HIGH
A8DYY2	0.336	0.000	0.336	78.9	1	-
C9JQI7	0.339	0.000	0.339	73.2	1	-
Q7KUE8	0.342	0.000	0.342	75.0	0	-
A0A1B0GTI8	0.349	0.000	0.349	82.6	1	-
Q04216	0.347	0.349	0.349	72.5	3	-
A0A0B4K7P2	0.351	0.000	0.351	79.9	0	-
Q8INL4	0.355	0.000	0.355	81.6	1	HIGH
Q9VTA7	0.358	0.000	0.358	78.9	1	-
A8MYZ0	0.365	0.000	0.365	83.1	2	HIGH
Q9VCT2	0.365	0.000	0.365	70.2	0	-
Q9VM89	0.367	0.000	0.367	81.3	1	-
A1ZBX0	0.380	0.000	0.380	87.9	1	-
Q9VRA5	0.383	0.000	0.383	81.6	0	-
A1ZBR8	0.393	0.000	0.393	79.0	1	-
Q9VRZ6	0.000	0.393	0.393	71.6	2	LOW
Q6UYE1	0.395	0.000	0.395	74.7	1	-
P61578	0.402	0.000	0.402	74.5	1	-
Q8TGU6	0.403	0.000	0.403	79.5	0	-
X2JD42	0.410	0.000	0.410	72.2	0	-
Q9VPL8	0.000	0.412	0.412	78.6	2	MEDIUM
Q9VSL0	0.344	0.412	0.412	71.9	2	LOW
Q9VGX9	0.265	0.415	0.415	75.3	3	HIGH
A0A0B4K8A4	0.416	0.000	0.416	77.1	0	-
M9NDZ9	0.418	0.000	0.418	72.3	0	-
Q9VQS5	0.419	0.000	0.419	77.8	1	-
Q8IPY6	0.421	0.000	0.421	81.3	0	-
Q8MLR5	0.424	0.000	0.424	76.7	1	-
Q9VG77	0.288	0.424	0.424	70.3	2	HIGH
P0C5N3	0.428	0.000	0.428	72.4	1	-
A8DYD4	0.429	0.000	0.429	72.2	1	-
A0A0B4K6Y3	0.432	0.000	0.432	91.5	0	-
A1Z7K3	0.432	0.000	0.432	70.5	2	-
Q9VCH2	0.436	0.000	0.436	72.6	1	-
E1JHP6	0.437	0.000	0.437	71.1	1	-
M9NFU6	0.442	0.000	0.442	80.9	0	-
Q8IRP6	0.308	0.448	0.448	71.7	1	HIGH
Q9VS32	0.448	0.000	0.448	83.3	1	-
Q9VB48	0.453	0.335	0.453	88.0	3	HIGH
Q9VED1	0.461	0.000	0.461	73.3	1	-
A1Z7M6	0.442	0.465	0.465	77.1	1	LOW
Q9VBK9	0.272	0.465	0.465	70.6	1	LOW
A0A0B4JCV2	0.469	0.000	0.469	80.6	0	-
Q9W510	0.474	0.000	0.474	71.5	0	-
Q9VDI6	0.475	0.000	0.475	72.0	1	HIGH
A0A0B4KED5	0.479	0.000	0.479	81.3	0	-
Q9C0B6	0.479	0.400	0.479	76.0	4	HIGH
A1Z823	0.484	0.000	0.484	81.0	1	-
Q96MT1	0.211	0.486	0.486	78.6	6	HIGH
A1Z9Q4	0.487	0.000	0.487	85.1	3	HIGH
Q9VF98	0.000	0.487	0.487	81.0	1	HIGH
Q9VWG5	0.488	0.000	0.488	82.6	3	HIGH
Q9VG61	0.000	0.492	0.492	79.9	4	HIGH
E1JIA5	0.495	0.000	0.495	82.7	1	HIGH
Q8IQX3	0.495	0.000	0.495	76.3	0	-
M9NFN8	0.497	0.000	0.497	70.8	0	-
Q9VY65	0.497	0.000	0.497	79.8	1	HIGH
A0A0B4LIG1	0.499	0.000	0.499	83.9	1	HIGH
A6NFY4	0.503	0.000	0.503	80.2	1	-
Q8MME9	0.505	0.000	0.505	70.2	2	-
Q4ABH9	0.508	0.504	0.508	82.5	1	LOW
A1Z923	0.511	0.000	0.511	77.7	0	-
Q4ABH5	0.511	0.508	0.511	88.6	2	LOW
Q6ZUA9	0.518	0.423	0.518	75.7	7	HIGH
Q4ABH6	0.447	0.520	0.520	89.0	1	LOW
Q8ND07	0.521	0.000	0.521	80.7	1	-
Q8NCQ3	0.522	0.000	0.522	75.9	0	-
Q9VFY4	0.522	0.000	0.522	82.4	0	-
P38317	0.525	0.000	0.525	79.7	2	HIGH
A8JNL8	0.528	0.000	0.528	82.4	2	HIGH
Q9VT39	0.529	0.000	0.529	82.3	2	-
A0A0B4KGB5	0.531	0.000	0.531	91.2	0	-
A8DYD6	0.531	0.000	0.531	76.8	1	-
Q7KVJ1	0.531	0.000	0.531	77.2	0	-
Q9VX38	0.533	0.000	0.533	75.0	1	-
Q9VI83	0.537	0.378	0.537	83.7	3	HIGH
A0A0B4K7K5	0.539	0.000	0.539	86.8	0	-
A0A6H2EDQ6	0.539	0.000	0.539	72.7	1	HIGH
Q9VRJ5	0.541	0.525	0.541	77.2	1	HIGH
Q9W1F0	0.542	0.000	0.542	74.3	0	-
Q9VHQ4	0.544	0.000	0.544	88.7	2	-
Q9VN18	0.401	0.547	0.547	73.2	2	HIGH
A0A0B4KF39	0.548	0.000	0.548	73.9	0	-
Q7JRP4	0.549	0.000	0.549	77.7	1	-
Q7KSU3	0.519	0.549	0.549	80.8	2	-
Q5BLP8	0.551	0.000	0.551	76.8	1	-
Q9VW41	0.554	0.000	0.554	90.8	1	HIGH
Q9VSW7	0.000	0.555	0.555	70.4	1	LOW
B7Z064	0.556	0.000	0.556	86.9	0	-
Q9VMN2	0.405	0.556	0.556	73.7	0	LOW
Q0KI27	0.557	0.000	0.557	71.6	1	HIGH
A1Z8I9	0.560	0.000	0.560	83.2	3	HIGH
P61576	0.560	0.000	0.560	76.1	1	-
A8DYM6	0.561	0.000	0.561	73.6	2	-
Q9GZU0	0.561	0.000	0.561	83.1	1	-
Q9VQN1	0.562	0.000	0.562	79.7	0	-
Q9VPW6	0.563	0.364	0.563	71.1	3	HIGH
Q9VV45	0.563	0.474	0.563	73.0	3	HIGH
Q9I7W5	0.566	0.339	0.566	70.3	2	HIGH
Q9VGH0	0.326	0.566	0.566	76.1	1	HIGH
Q08990	0.567	0.000	0.567	86.2	1	-
Q9VTX1	0.567	0.444	0.567	75.9	5	HIGH
Q4ABK3	0.570	0.000	0.570	76.0	0	-
Q8MKK0	0.570	0.000	0.570	80.3	1	HIGH
Q9UH36	0.570	0.000	0.570	78.4	2	-
M9NEJ1	0.571	0.000	0.571	81.0	0	-
Q9VD55	0.573	0.000	0.573	75.3	1	HIGH
A1ZB54	0.574	0.507	0.574	90.4	1	-
Q8TDW4	0.576	0.325	0.576	79.2	2	HIGH
Q5JXM2	0.578	0.360	0.578	77.9	2	MEDIUM
Q8MKJ4	0.578	0.000	0.578	87.4	1	HIGH
Q9VE11	0.508	0.578	0.578	74.7	1	LOW
Q7JWR9	0.580	0.361	0.580	71.8	3	HIGH
Q9VPK1	0.582	0.514	0.582	84.7	1	LOW
Q9W1R8	0.584	0.000	0.584	82.8	1	HIGH
A0A0B4LES9	0.534	0.586	0.586	86.7	2	HIGH
Q9W0V0	0.428	0.588	0.588	77.8	3	HIGH
A0A0B4K816	0.589	0.000	0.589	79.1	0	-
Q9VGA7	0.589	0.452	0.589	79.7	1	LOW
Q9VMA6	0.557	0.589	0.589	92.6	1	HIGH
A1Z9Q3	0.592	0.000	0.592	76.7	1	-
Q8MSY4	0.321	0.592	0.592	77.5	2	HIGH
Q9VMC3	0.586	0.592	0.592	81.3	3	HIGH
A8DYZ4	0.588	0.593	0.593	84.9	0	-
P38799	0.209	0.593	0.593	71.1	3	HIGH
B7Z137	0.595	0.000	0.595	80.8	1	-
Q4ABF6	0.595	0.510	0.595	90.3	1	LOW
Q9VPB1	0.595	0.212	0.595	81.4	1	-
P39989	0.597	0.000	0.597	73.6	1	-
Q4ABH8	0.597	0.515	0.597	90.3	2	-
O96067	0.599	0.502	0.599	73.6	1	HIGH
Q8INY2	0.560	0.599	0.599	73.4	0	-
Q9VK02	0.599	0.560	0.599	74.2	0	-
Q9VSY0	0.600	0.000	0.600	82.0	2	HIGH
Q6III4	0.601	0.523	0.601	88.1	1	-
Q9VD66	0.602	0.000	0.602	80.5	0	-
Q9W471	0.603	0.000	0.603	79.4	3	HIGH
A1ZB58	0.604	0.510	0.604	88.3	1	LOW
A1Z885	0.606	0.450	0.606	80.6	1	LOW
A1ZAC7	0.607	0.409	0.607	77.9	3	LOW
P39529	0.607	0.530	0.607	70.1	3	HIGH
Q9VB61	0.608	0.536	0.608	80.8	2	HIGH
Q8WVH0	0.332	0.611	0.611	74.6	1	HIGH
Q4KMZ8	0.612	0.000	0.612	75.5	1	-
A1Z815	0.483	0.614	0.614	72.7	1	-
A0A0B4JDE5	0.615	0.000	0.615	77.4	0	-
Q9VQZ0	0.356	0.618	0.618	76.8	2	HIGH
A6NG13	0.559	0.621	0.621	84.7	2	LOW
M9PED9	0.621	0.582	0.621	92.4	1	HIGH
Q0P6D2	0.591	0.621	0.621	86.4	3	HIGH
Q9VUH5	0.602	0.621	0.621	71.3	2	-
Q9VEH2	0.623	0.000	0.623	73.4	1	-
A8DYV0	0.624	0.000	0.624	92.3	2	-
A8DYV1	0.626	0.000	0.626	88.8	1	-
O96532	0.628	0.600	0.628	73.0	2	HIGH
Q5T7M9	0.629	0.596	0.629	83.5	2	-
Q9VEQ3	0.629	0.000	0.629	77.8	0	-
Q9VF43	0.629	0.000	0.629	72.8	1	-
A0A140TA62	0.000	0.630	0.630	76.3	3	HIGH
Q9VN80	0.630	0.578	0.630	77.8	1	HIGH
Q9VYH4	0.630	0.542	0.630	86.4	1	LOW
A1ZAX7	0.631	0.000	0.631	80.7	0	-
A1Z7U8	0.632	0.564	0.632	90.9	1	-
Q9VC13	0.632	0.584	0.632	75.1	2	HIGH
O97064	0.633	0.000	0.633	73.3	3	HIGH
P53870	0.634	0.128	0.634	83.9	2	-
A1Z9Q5	0.635	0.000	0.635	87.6	1	-
A8DYA9	0.635	0.000	0.635	80.4	0	-
Q9VFM2	0.635	0.616	0.635	74.9	1	LOW
A1Z6L8	0.636	0.595	0.636	89.5	1	LOW
Q8I0T1	0.637	0.571	0.637	85.9	1	HIGH
Q9VNL1	0.637	0.000	0.637	87.2	2	HIGH
A1Z875	0.638	0.000	0.638	86.4	2	-
Q9W0M6	0.638	0.000	0.638	92.6	2	-
Q9W2T3	0.576	0.638	0.638	91.1	1	HIGH
O77477	0.641	0.596	0.641	81.8	2	LOW
Q9H091	0.641	0.364	0.641	72.0	3	HIGH
Q9VWP0	0.642	0.577	0.642	77.2	1	-
Q9W0M9	0.642	0.595	0.642	75.3	4	HIGH
Q9VMM8	0.643	0.543	0.643	91.3	5	HIGH
M9PBB7	0.645	0.000	0.645	80.3	0	-
P53234	0.645	0.000	0.645	71.8	1	-
P54194	0.645	0.000	0.645	78.7	2	HIGH
Q9VDY7	0.613	0.645	0.645	88.3	2	HIGH
Q9BR11	0.646	0.480	0.646	75.7	5	HIGH
M9MS08	0.647	0.000	0.647	72.7	0	-
Q24118	0.454	0.647	0.647	81.4	2	-
Q9W4G5	0.647	0.577	0.647	81.0	1	LOW
B9A014	0.558	0.648	0.648	81.0	1	MEDIUM
Q9V9U9	0.599	0.648	0.648	82.6	1	MEDIUM
Q9VCF1	0.509	0.648	0.648	87.5	2	-
Q9VED2	0.648	0.612	0.648	83.7	0	-
Q9VLG1	0.351	0.648	0.648	81.8	1	MEDIUM
Q8J0M4	0.649	0.000	0.649	86.2	1	-
Q6ZVW7	0.650	0.529	0.650	79.5	2	HIGH
A1ZAI1	0.341	0.651	0.651	88.9	1	MEDIUM
Q9VPX0	0.651	0.000	0.651	80.6	1	-
O97063	0.652	0.000	0.652	78.0	2	HIGH
A8DYL2	0.653	0.605	0.653	79.9	3	HIGH
A0A0B4KFG3	0.657	0.650	0.657	78.4	0	-
Q9VLB1	0.657	0.000	0.657	76.4	3	HIGH
Q9VU25	0.617	0.657	0.657	91.5	3	HIGH
E5RIL1	0.658	0.584	0.658	82.0	2	LOW
Q5SWX8	0.658	0.605	0.658	80.4	1	-
Q9VZG2	0.659	0.000	0.659	70.7	3	HIGH
Q9W136	0.659	0.000	0.659	94.5	1	-
A1Z8Z4	0.660	0.561	0.660	82.7	1	LOW
A1ZBI2	0.661	0.576	0.661	89.8	1	-
Q9VZC8	0.661	0.000	0.661	81.2	1	-
A1ZBG7	0.662	0.645	0.662	84.4	1	HIGH
A8JRH2	0.663	0.000	0.663	83.2	0	-
Q9VU56	0.663	0.000	0.663	74.4	0	-
A0A6H2EG72	0.666	0.000	0.666	79.9	2	-
Q9VAE6	0.667	0.000	0.667	71.2	1	-
Q9NRM2	0.668	0.534	0.668	73.9	4	HIGH
P32460	0.669	0.339	0.669	94.6	3	HIGH
Q9VN01	0.576	0.669	0.669	86.3	3	HIGH
M9ND79	0.670	0.657	0.670	83.6	1	HIGH
A0A0B4KG57	0.671	0.000	0.671	88.5	0	-
Q9V3M2	0.671	0.468	0.671	77.6	2	HIGH
Q8IQV2	0.672	0.644	0.672	91.6	2	HIGH
Q8T0B1	0.464	0.672	0.672	80.0	1	HIGH
Q9VVV1	0.675	0.551	0.675	90.9	4	HIGH
Q5TIA1	0.676	0.672	0.676	83.7	4	HIGH
Q9W2B3	0.677	0.553	0.677	74.1	2	HIGH
Q9V3E4	0.678	0.406	0.678	84.9	1	-
Q9VBM1	0.678	0.579	0.678	77.8	4	HIGH
P53133	0.679	0.000	0.679	73.1	1	-
B0FP48	0.680	0.459	0.680	82.2	2	LOW
Q6UWF9	0.610	0.682	0.682	86.6	1	MEDIUM
Q9W280	0.682	0.528	0.682	86.5	2	LOW
C9J202	0.683	0.000	0.683	76.9	2	HIGH
Q9I7W2	0.683	0.567	0.683	86.3	2	HIGH
Q9VQR0	0.683	0.592	0.683	76.2	5	HIGH
Q9VR87	0.577	0.683	0.683	92.9	1	-
M9PIM3	0.626	0.684	0.684	80.5	2	HIGH
Q9VX97	0.619	0.684	0.684	81.2	1	HIGH
A1Z7Y9	0.685	0.611	0.685	91.3	1	LOW
A8DT49	0.685	0.000	0.685	81.6	0	-
Q8IPS9	0.685	0.000	0.685	82.5	1	-
Q9W551	0.685	0.000	0.685	87.0	1	HIGH
A8DY65	0.687	0.509	0.687	93.2	2	MEDIUM
E1JHF7	0.687	0.602	0.687	78.2	0	-
Q5T9Z0	0.687	0.000	0.687	81.8	1	-
Q9W044	0.682	0.687	0.687	81.0	0	-
Q9C0B7	0.688	0.493	0.688	78.7	7	HIGH
A6NEN9	0.689	0.339	0.689	82.5	1	-
Q0E8Q6	0.689	0.558	0.689	77.4	4	HIGH
Q9VCE8	0.639	0.689	0.689	89.2	1	MEDIUM
Q9VQL2	0.690	0.405	0.690	89.5	4	HIGH
Q9VWM0	0.690	0.000	0.690	85.6	2	HIGH
X2J8R6	0.690	0.000	0.690	80.2	0	-
Q9VUJ2	0.691	0.662	0.691	75.0	8	HIGH
A6NC86	0.692	0.579	0.692	90.6	4	HIGH
Q9Y123	0.692	0.000	0.692	89.8	1	HIGH
Q8WU76	0.693	0.683	0.693	92.2	3	HIGH
Q6MZT1	0.694	0.551	0.694	72.8	2	-
A0A126GUX4	0.695	0.000	0.695	88.8	1	-
M9NDN6	0.695	0.000	0.695	72.6	0	-
Q9VLI3	0.695	0.682	0.695	84.1	0	MEDIUM
Q9VXV0	0.695	0.000	0.695	73.9	1	-
Q9VK83	0.696	0.617	0.696	77.8	1	-
Q9VMB5	0.620	0.697	0.697	84.8	1	HIGH
A1Z9B9	0.678	0.699	0.699	82.1	2	HIGH
Q9VUP8	0.699	0.692	0.699	84.9	2	HIGH
Q9VZG0	0.699	0.000	0.699	71.7	3	HIGH
M9PCI3	0.701	0.000	0.701	78.1	1	HIGH
Q9VZG1	0.701	0.000	0.701	86.1	3	HIGH
Q2MGK7	0.702	0.000	0.702	79.8	1	HIGH
Q8IPD8	0.702	0.000	0.702	76.5	2	HIGH
Q9VHN0	0.702	0.000	0.702	86.6	1	-
P0C7T8	0.704	0.606	0.704	72.1	1	LOW
P39728	0.699	0.705	0.705	79.2	2	LOW
Q4AB35	0.705	0.531	0.705	89.3	1	-
Q9VJU6	0.705	0.227	0.705	78.9	3	HIGH
Q9W2S6	0.705	0.693	0.705	84.9	1	MEDIUM
Q8IN10	0.660	0.706	0.706	80.6	1	HIGH
Q7KUE6	0.707	0.610	0.707	84.8	0	LOW
Q9VKQ5	0.707	0.000	0.707	81.6	2	HIGH
Q9VRK2	0.707	0.571	0.707	71.2	1	-
Q9VSZ2	0.707	0.384	0.707	78.8	3	HIGH
Q9V3A0	0.647	0.708	0.708	79.6	2	LOW
Q9VY21	0.709	0.666	0.709	77.5	6	HIGH
A6NML5	0.569	0.710	0.710	74.9	0	MEDIUM
Q2PE19	0.710	0.268	0.710	77.9	1	-
Q7KUX0	0.713	0.000	0.713	77.8	0	-
Q6ZVS7	0.575	0.714	0.714	81.4	1	HIGH
Q8IQB7	0.714	0.690	0.714	73.4	1	HIGH
Q9VNL2	0.714	0.000	0.714	87.7	2	HIGH
A1Z7I2	0.715	0.639	0.715	84.7	3	HIGH
A6NFU0	0.715	0.613	0.715	82.9	5	HIGH
A8DYL4	0.715	0.000	0.715	84.4	0	-
Q8IMG8	0.716	0.686	0.716	77.0	0	-
Q9W4R1	0.717	0.666	0.717	79.2	2	HIGH
Q9VZL8	0.718	0.000	0.718	80.6	1	-
Q4ABI8	0.719	0.656	0.719	82.2	1	MEDIUM
P61550	0.720	0.000	0.720	70.3	2	-
Q9VAU3	0.718	0.720	0.720	94.7	4	HIGH
Q8IV42	0.722	0.663	0.722	76.5	4	HIGH
A1ZBJ7	0.724	0.579	0.724	74.9	2	HIGH
Q8IQR9	0.725	0.000	0.725	87.5	0	-
Q9VSZ5	0.725	0.692	0.725	83.2	3	HIGH
B7Z0X6	0.727	0.694	0.727	81.6	2	HIGH
Q8TDI8	0.728	0.700	0.728	76.9	2	HIGH
Q8TD33	0.729	0.000	0.729	77.8	3	HIGH
Q6UWL2	0.730	0.491	0.730	77.8	10	HIGH
Q8SXT3	0.731	0.564	0.731	82.2	3	HIGH
Q9VXV9	0.731	0.639	0.731	81.2	2	HIGH
A1Z6U3	0.611	0.732	0.732	91.8	2	HIGH
Q9VCG0	0.733	0.000	0.733	78.6	2	HIGH
Q9VMB8	0.733	0.661	0.733	81.0	2	HIGH
Q9VFE8	0.734	0.470	0.734	76.3	2	HIGH
Q9VIL1	0.734	0.000	0.734	76.0	2	-
Q9VSM4	0.567	0.734	0.734	77.8	2	HIGH
Q9V931	0.736	0.703	0.736	82.5	2	HIGH
Q9VND4	0.737	0.000	0.737	89.1	1	HIGH
Q9VNZ9	0.737	0.662	0.737	82.2	7	HIGH
Q0E8H7	0.739	0.661	0.739	70.6	3	HIGH
