protein_a	protein_b	template_pdb	min_TM	involves_dark
P04449	P26783	8bn3	1.002	0
P0C0W1	P46784	8b2l	1.002	0
P0C0W1	Q08745	8b2l	1.002	0
P12787	P43023	8h8s	1.002	0
P12787	P56393	3ag2	1.002	0
P14063	P25642	5mrc	1.002	0
P14063	P32902	5mrc	1.002	0
P20618	P28065	8ysx	1.002	0
P20618	P28070	8ysx	1.002	0
P20618	P49720	8ysx	1.002	0
P21771	P40858	5mrf	1.002	0
P24000	P26783	8bn3	1.002	0
P24311	Q8TF08	3ag2	1.002	0
P25642	P32902	5mrc	1.002	0
P25642	P36523	5mrc	1.002	0
P25642	P36533	5mrc	1.002	0
P25642	P53724	5mrc	1.002	0
P25786	P60900	8bzl	1.002	0
P26783	Q3E792	8bn3	1.002	0
P28065	P28070	8ysx	1.002	0
P28065	P49720	8ysx	1.002	0
P28065	P49721	8ysx	1.002	0
P28070	P49720	8fz5	1.002	0
P28070	P49721	8ysx	1.002	0
P32902	P36523	5mrc	1.002	0
P32902	P36533	5mrc	1.002	0
P32902	P53724	5mrc	1.002	0
P46784	Q3E7Y3	8b2l	1.002	0
P48149	P48159	9cai	1.002	0
P48149	Q9V597	8q87	1.002	0
P48159	Q7KR04	9cai	1.002	0
P49720	P49721	8ysx	1.002	0
P56391	P56393	3abm	1.002	0
P56392	P56393	7tie	1.002	0
P59169	Q9SI96	8guk	1.002	0
P59226	Q9SI96	8guk	1.002	0
P59259	Q9FFC0	7vbm	1.002	0
P59259	Q9LZ45	7vbm	1.002	0
P59259	Q9LZT0	7vbm	1.002	0
P62717	P63325	8q87	1.002	0
P62717	Q9CZX8	8q87	1.002	0
P62806	P70696	7vbm	1.002	0
P63325	Q9CZX8	8q87	1.002	0
P82912	P82921	6zm6	1.002	0
Q7KR04	Q9V597	8q87	1.002	0
Q8RXX5	Q8VZ55	5mmi	1.002	0
Q99N91	Q9D7N6	8any	1.002	0
Q99N91	Q9DCA2	8any	1.002	0
Q9CY16	Q9D7N6	8any	1.002	0
Q9CY16	Q9DCA2	8any	1.002	0
Q9D7N6	Q9DCA2	8any	1.002	0
Q9FXI7	Q9LZT0	5b0z	1.002	0
Q9FXI7	Q9SI96	8guk	1.002	0
Q9LR02	Q9SI96	8guk	1.002	0
Q9P0J6	Q9Y2R5	6ydw	1.002	0
Q9QUM9	Q9R1P0	8bzl	1.002	0
Q9QUM9	Q9R1P4	8bzl	1.002	0
Q9R1P0	Q9R1P4	8bzl	1.002	0
A6NMX2	P06730	5osx	1.001	0
C0HKA0	P48149	9cai	1.001	0
C0HKA0	P48159	9cai	1.001	0
C0HKA0	Q7KR04	9cai	1.001	0
C0HKA0	Q9VMU4	9c3h	1.001	0
O03042	P10795	5iu0	1.001	0
O03042	P10797	5iu0	1.001	0
O03042	P10798	5iu0	1.001	0
O04848	P59169	6ke9	1.001	0
O04848	P59226	6ke9	1.001	0
O09061	O70435	8ysx	1.001	0
O09061	P99026	8ysx	1.001	0
O09061	Q9QUM9	8ysx	1.001	0
O14521	P21912	3abv	1.001	0
O22860	O80646	7qiz	1.001	0
O22860	P38666	7qiz	1.001	0
O22860	P42036	9cai	1.001	0
O22860	P42798	7qiz	1.001	0
O22860	P49690	9cai	1.001	0
O22860	Q42347	7qiz	1.001	0
O22860	Q9CAX6	9cai	1.001	0
O22860	Q9FE58	7qiz	1.001	0
O22860	Q9LX88	7qiz	1.001	0
O22860	Q9SIH0	9cai	1.001	0
O23629	Q9LD28	8g88	1.001	0
O44437	Q9VU02	4pjo	1.001	0
O55142	P19253	7oyb	1.001	0
O55142	P41105	7oyc	1.001	0
O55142	P62889	7oyb	1.001	0
O55142	Q9CPR4	7oyc	1.001	0
O55234	P99026	8fz5	1.001	0
O55234	Q9R1P3	3une	1.001	0
O70435	P99026	8ysx	1.001	0
O70435	Q9QUM9	8ysx	1.001	0
O70435	Q9R1P1	8ysx	1.001	0
O70435	Q9R1P3	8ysx	1.001	0
O80646	Q9FE58	7qiz	1.001	0
P00127	P00163	3cxh	1.001	0
P00416	Q9D855	8ugj	1.001	0
P02042	P68871	1ye2	1.001	0
P02293	P61830	7k61	1.001	0
P04449	P14120	7r81	1.001	0
P06899	P16104	8ihl	1.001	0
P09012	P09661	3jb9	1.001	0
P0A7M6	P0AG48	8ceu	1.001	0
P0ACE0	P69741	5xvb	1.001	0
P0AF32	P11349	1y4z	1.001	0
P10507	P11914	1hr6	1.001	0
P11349	P11350	1y4z	1.001	0
P12694	P21953	1olx	1.001	0
P12982	P48461	6zej	1.001	0
P12982	Q05547	6zej	1.001	0
P14063	P22354	5mrc	1.001	0
P14063	Q06678	5mrc	1.001	0
P14120	P24000	7r81	1.001	0
P14120	P46784	9cai	1.001	0
P14120	Q08745	9cai	1.001	0
P14120	Q3E7Y3	9cai	1.001	0
P14148	P41105	7cpv	1.001	0
P14206	P25444	8q87	1.001	0
P14206	P41105	8q87	1.001	0
P14206	P62717	8q87	1.001	0
P14206	P63325	8q87	1.001	0
P14206	Q9CZX8	8q87	1.001	0
P19253	P62889	7oyb	1.001	0
P19253	P63325	8scb	1.001	0
P20618	P60900	8ysx	1.001	0
P20674	Q02221	8h8s	1.001	0
P21242	P30657	7tej	1.001	0
P21771	P51998	5mrf	1.001	0
P21771	Q03201	5mrf	1.001	0
P22354	P25642	5mrc	1.001	0
P22354	P32902	5mrc	1.001	0
P22354	P36523	5mrc	1.001	0
P22354	P36533	5mrc	1.001	0
P22354	P53724	5mrc	1.001	0
P22354	Q06678	5mrc	1.001	0
P23638	P30657	8t0m	1.001	0
P25444	P41105	8q87	1.001	0
P25444	P62717	8q87	1.001	0
P25444	P63325	8q87	1.001	0
P25444	Q9CZX8	8q87	1.001	0
P25642	Q06678	5mrc	1.001	0
P28065	P60900	8ysx	1.001	0
P28070	P60900	8ysx	1.001	0
P32902	Q06678	5mrc	1.001	0
P35486	Q9D051	6cer	1.001	0
P36523	Q06678	5mrc	1.001	0
P36533	Q06678	5mrc	1.001	0
P38666	Q9FE58	7qiz	1.001	0
P40283	Q9LD28	8g88	1.001	0
P40337	Q15369	4awj	1.001	0
P40858	P51998	5mrf	1.001	0
P40858	Q03201	5mrf	1.001	0
P41105	P62717	8q87	1.001	0
P41105	P63325	8q87	1.001	0
P41105	Q9CPR4	7oyc	1.001	0
P41105	Q9CZX8	8q87	1.001	0
P42036	P49690	9cai	1.001	0
P42036	Q8VZ19	9cai	1.001	0
P42036	Q9C8F7	9cai	1.001	0
P42036	Q9LSA3	9cai	1.001	0
P42798	Q9FE58	7qiz	1.001	0
P46783	P62899	8q87	1.001	0
P48149	Q9VH69	7qiz	1.001	0
P48461	Q05547	6zej	1.001	0
P49690	Q8VZ19	9cai	1.001	0
P49690	Q9C8F7	9cai	1.001	0
P49690	Q9CAX6	9cai	1.001	0
P49690	Q9LSA3	9cai	1.001	0
P49690	Q9SIH0	9cai	1.001	0
P49720	P60900	8ysx	1.001	0
P49721	P60900	8ysx	1.001	0
P50136	Q6P3A8	1olx	1.001	0
P51998	Q03201	5mrf	1.001	0
P53724	Q06678	5mrc	1.001	0
P56761	P83755	5b5e	1.001	0
P59169	Q9LD28	6ke9	1.001	0
P59169	Q9LZT0	5b0z	1.001	0
P59169	Q9S9K7	6ke9	1.001	0
P59226	Q9LD28	6ke9	1.001	0
P59226	Q9LZT0	5b0z	1.001	0
P59226	Q9S9K7	6ke9	1.001	0
P59259	Q9LQQ4	7vbm	1.001	0
P59259	Q9SF55	7vbm	1.001	0
P61964	Q86VZ2	2co0	1.001	0
P62136	P62140	6zej	1.001	0
P62137	P62141	6zej	1.001	0
P62137	P63087	6zej	1.001	0
P62141	P63087	6zej	1.001	0
P62314	P62318	4pjo	1.001	0
P62315	P62320	4pjo	1.001	0
P62717	Q9CQR2	8btk	1.001	0
P99026	Q9QUM9	8ysx	1.001	0
P99026	Q9R1P1	8fz5	1.001	0
P99026	Q9R1P3	8ysx	1.001	0
Q42347	Q9FE58	7qiz	1.001	0
Q6SKR2	Q9DCG9	6ped	1.001	0
Q7KR04	Q9VH69	7qiz	1.001	0
Q8VZ19	Q9CAX6	9cai	1.001	0
Q8VZ19	Q9SIH0	9cai	1.001	0
Q8VZ55	Q8W463	5mmi	1.001	0
Q99LC5	Q9DCW4	1efv	1.001	0
Q99N91	Q99N93	8any	1.001	0
Q99N93	Q9CY16	8any	1.001	0
Q99N93	Q9D7N6	8any	1.001	0
Q99N93	Q9DCA2	8any	1.001	0
Q9C8F7	Q9CAX6	9cai	1.001	0
Q9C8F7	Q9SIH0	9cai	1.001	0
Q9CAX6	Q9LSA3	9cai	1.001	0
Q9CQR2	Q9CZX8	8btk	1.001	0
Q9FE58	Q9LX88	7qiz	1.001	0
Q9FFC0	Q9LD28	8g88	1.001	0
Q9FXI7	Q9LD28	6ke9	1.001	0
Q9FXI7	Q9S9K7	6ke9	1.001	0
Q9LD28	Q9LQQ4	8g88	1.001	0
Q9LD28	Q9LZ45	8g88	1.001	0
Q9LD28	Q9LZT0	8g88	1.001	0
Q9LD28	Q9SF55	8g88	1.001	0
Q9LD28	Q9SI96	8g88	1.001	0
Q9LD28	Q9ZUS0	8g88	1.001	0
Q9LR02	Q9LZT0	5b0z	1.001	0
Q9LR02	Q9S9K7	6ke9	1.001	0
Q9LSA3	Q9SIH0	9cai	1.001	0
Q9QUM9	Q9R1P1	8ysx	1.001	0
Q9QUM9	Q9R1P3	8ysx	1.001	0
C0HKA0	Q9VH69	7qiz	1.000	0
F4JWS8	P42792	7jrg	1.000	0
O00217	O75251	8ugp	1.000	0
O09061	O55234	3une	1.000	0
O09061	P28063	8ysx	1.000	0
O22795	P56804	5mmm	1.000	0
O54962	P48678	6ghd	1.000	0
O55142	P27659	7oyc	1.000	0
O55142	Q9CXW4	7oyc	1.000	0
O55142	Q9CZX8	7oyc	1.000	0
O55234	Q60692	8fz5	1.000	0
O70435	P28063	8ysx	1.000	0
O80646	Q8L8W6	8b2l	1.000	0
P08559	P11177	6cer	1.000	0
P0A7M6	P0A7T7	8b0x	1.000	0
P0A7M6	P0A7U7	7n31	1.000	0
P0C0W1	P14120	9cai	1.000	0
P0C0W1	P41058	7qiz	1.000	0
P10363	P38121	8foe	1.000	0
P11177	P29803	6cer	1.000	0
P14063	P36525	5mrc	1.000	0
P14063	P53881	5mrc	1.000	0
P14206	P35980	8q87	1.000	0
P14206	P51410	8q87	1.000	0
P14206	P62702	8q87	1.000	0
P18077	P62913	7oyc	1.000	0
P19253	P27659	7oyc	1.000	0
P19253	P41105	7oyc	1.000	0
P19253	Q9CPR4	7oyb	1.000	0
P19253	Q9CXW4	7oyc	1.000	0
P19253	Q9CZX8	7oyc	1.000	0
P22090	P46783	8q87	1.000	0
P22090	P62899	8q87	1.000	0
P22090	Q02543	8q87	1.000	0
P22354	P36525	5mrc	1.000	0
P22354	P53881	5mrc	1.000	0
P23638	P38624	7ls5	1.000	0
P25444	P35980	8q87	1.000	0
P25444	P51410	8q87	1.000	0
P25444	P62702	8q87	1.000	0
P25642	P36525	5mrc	1.000	0
P25642	P53881	5mrc	1.000	0
P25786	P49720	8yvp	1.000	0
P27659	P41105	7oyc	1.000	0
P27659	Q9CPR4	7oyc	1.000	0
P27659	Q9CXW4	7oyc	1.000	0
P27659	Q9CZX8	7oyc	1.000	0
P28063	P99026	8ysx	1.000	0
P28063	Q60692	8fz5	1.000	0
P28063	Q9QUM9	8ysx	1.000	0
P28063	Q9R1P1	8ysx	1.000	0
P28063	Q9R1P3	8ysx	1.000	0
P29340	P39718	2y9m	1.000	0
P31997	P40199	4wtz	1.000	0
P32902	P36525	5mrc	1.000	0
P32902	P53881	5mrc	1.000	0
P35487	Q9D051	6cer	1.000	0
P35980	P41105	8q87	1.000	0
P35980	P51410	8q87	1.000	0
P35980	P62702	8q87	1.000	0
P35980	P62717	8q87	1.000	0
P35980	P63325	8q87	1.000	0
P35980	Q9CZX8	8q87	1.000	0
P36523	P36525	5mrc	1.000	0
P36523	P53881	5mrc	1.000	0
P36525	P36533	5mrc	1.000	0
P36525	P53724	5mrc	1.000	0
P36525	P53881	5mrc	1.000	0
P36525	Q06678	5mrc	1.000	0
P36533	P53881	5mrc	1.000	0
P38666	Q8L8W6	8b2l	1.000	0
P38979	P48149	8q87	1.000	0
P38979	Q7KR04	8q87	1.000	0
P38979	Q9V597	8q87	1.000	0
P41056	Q3E7Y3	8c3a	1.000	0
P41058	Q08745	7qiz	1.000	0
P41058	Q3E7Y3	7qiz	1.000	0
P41105	P51410	8q87	1.000	0
P41105	P62702	8q87	1.000	0
P41105	Q9CXW4	7oyc	1.000	0
P42036	P42798	9cai	1.000	0
P42036	Q9LX88	9cai	1.000	0
P42798	P49690	9cai	1.000	0
P42798	Q8L8W6	8b2l	1.000	0
P42798	Q8VZ19	9cai	1.000	0
P42798	Q9C8F7	9cai	1.000	0
P42798	Q9CAX6	9cai	1.000	0
P42798	Q9LSA3	9cai	1.000	0
P42798	Q9SIH0	9cai	1.000	0
P43333	Q39244	3jb9	1.000	0
P46783	P62701	8q87	1.000	0
P46783	Q02543	8q87	1.000	0
P49598	Q9SN51	4n0g	1.000	0
P49690	Q9LX88	9cai	1.000	0
P51410	P62702	8q87	1.000	0
P51410	P62717	8q87	1.000	0
P51410	P63325	8q87	1.000	0
P51410	Q9CZX8	8q87	1.000	0
P51414	Q8VZ19	7r81	1.000	0
P51414	Q9C8F7	7r81	1.000	0
P51414	Q9LSA3	7r81	1.000	0
P53724	P53881	5mrc	1.000	0
P53881	Q06678	5mrc	1.000	0
P56391	P56392	6nkn	1.000	0
P57784	Q62189	3jb9	1.000	1
P59169	Q9FFC0	6hkt	1.000	0
P59226	Q9FFC0	6hkt	1.000	0
P59226	Q9FJE8	6ke9	1.000	0
P59708	P83870	7q4o	1.000	0
P61965	Q9D7H2	2co0	1.000	1
P62701	P62899	8q87	1.000	0
P62701	Q02543	8q87	1.000	0
P62702	P62717	8q87	1.000	0
P62702	P63325	8q87	1.000	0
P62702	Q9CZX8	8q87	1.000	0
P62889	Q9CPR4	7oyb	1.000	0
P62899	Q02543	8q87	1.000	0
P70175	Q811D0	8cn3	1.000	0
P99026	Q60692	8fz5	1.000	0
Q14681	Q9NXV2	3drz	1.000	0
Q16595	Q9HD34	8pk8	1.000	0
Q42347	Q8L8W6	8b2l	1.000	0
Q60692	Q9R1P0	8ypk	1.000	0
Q60692	Q9R1P1	8fz5	1.000	0
Q7RTV0	Q9Y3B4	7q4o	1.000	0
Q8L8W6	Q9LX88	8b2l	1.000	0
Q8VZ19	Q9LX88	9cai	1.000	0
Q949X7	Q94A94	6n2a	1.000	0
Q99N91	Q99N92	8xt0	1.000	0
Q99N91	Q9CR88	8any	1.000	0
Q99N91	Q9DCU6	8any	1.000	0
Q99N93	Q9CR88	8any	1.000	0
Q99N93	Q9DCU6	8any	1.000	0
Q9C8F7	Q9LX88	9cai	1.000	0
Q9CAX6	Q9LX88	9cai	1.000	0
Q9CPR4	Q9CXW4	7oyc	1.000	0
Q9CPR4	Q9CZX8	7oyc	1.000	0
Q9CQA3	Q9CXV1	3abv	1.000	0
Q9CR88	Q9CY16	8any	1.000	0
Q9CR88	Q9D7N6	8any	1.000	0
Q9CR88	Q9DCA2	8any	1.000	0
Q9CR88	Q9DCU6	8any	1.000	0
Q9CXW4	Q9CZX8	7oyc	1.000	0
Q9CY16	Q9DCU6	8any	1.000	0
Q9D7N6	Q9DCU6	8any	1.000	0
Q9DCA2	Q9DCU6	8any	1.000	0
Q9FFC0	Q9FXI7	8guk	1.000	0
Q9FFC0	Q9LR02	6hkt	1.000	0
Q9LSA3	Q9LX88	9cai	1.000	0
Q9LX88	Q9SIH0	9cai	1.000	0
Q9R1P1	Q9R1P4	8yvp	1.000	0
Q9VF27	Q9VXK7	8ugp	1.000	0
O55142	P25444	7oyb	1.000	0
O80646	P42036	9cai	1.000	0
O80646	P49690	9cai	1.000	0
O80646	Q8VZ19	9cai	1.000	0
O80646	Q9C8F7	9cai	1.000	0
O80646	Q9CAX6	9cai	1.000	0
O80646	Q9LSA3	9cai	1.000	0
O80646	Q9SIH0	9cai	1.000	0
P08579	P09012	7dwh	1.000	0
P09152	P0AF32	3egw	1.000	0
P09152	P11349	3egw	1.000	0
P09152	P11350	3egw	1.000	0
P14063	P25348	5mrc	1.000	0
P14206	P27659	8q87	1.000	0
P14206	P97351	8q87	1.000	0
P19253	P25444	7oyb	1.000	0
P22354	P25348	5mrc	1.000	0
P25348	P25642	5mrc	1.000	0
P25348	P32902	5mrc	1.000	0
P25348	P36523	5mrc	1.000	0
P25348	P36525	5mrc	1.000	0
P25348	P36533	5mrc	1.000	0
P25348	P53724	5mrc	1.000	0
P25348	P53881	5mrc	1.000	0
P25348	Q06678	5mrc	1.000	0
P25444	P27659	8q87	1.000	0
P25444	P62889	7oyb	1.000	0
P25444	P97351	8q87	1.000	0
P25444	Q9CPR4	7oyb	1.000	0
P27659	P35980	8q87	1.000	0
P27659	P51410	8q87	1.000	0
P27659	P62702	8q87	1.000	0
P27659	P62717	8q87	1.000	0
P27659	P63325	8q87	1.000	0
P27659	P97351	8q87	1.000	0
P35980	P97351	8q87	1.000	0
P41105	P97351	8q87	1.000	0
P51410	P97351	8q87	1.000	0
P62702	P97351	8q87	1.000	0
P62717	P97351	8q87	1.000	0
P63325	P97351	8q87	1.000	0
P68871	P69905	1y7z	1.000	0
P97351	Q9CZX8	8q87	1.000	0
Q99N91	Q9ER88	8any	1.000	0
Q99N93	Q9ER88	8any	1.000	0
Q9CR88	Q9ER88	8any	1.000	0
Q9CY16	Q9ER88	8any	1.000	0
Q9D7N6	Q9ER88	8any	1.000	0
Q9DCA2	Q9ER88	8any	1.000	0
Q9DCU6	Q9ER88	8any	1.000	0
O55142	P62717	7oyb	1.000	0
P0A877	P0A879	7ki7	1.000	0
P15731	P15732	8uq9	1.000	0
P18077	P62888	7oyb	1.000	0
P19253	P62717	7oyb	1.000	0
P48159	Q9W237	7oyc	1.000	0
P49753	Q86TX2	3hlk	1.000	0
P62717	P62889	7oyb	1.000	0
P62717	Q9CPR4	7oyb	1.000	0
Q8K2Y7	Q99N91	8any	1.000	0
Q8K2Y7	Q99N93	8any	1.000	0
Q8K2Y7	Q9CR88	8any	1.000	0
Q8K2Y7	Q9CY16	8any	1.000	0
Q8K2Y7	Q9D7N6	8any	1.000	0
Q8K2Y7	Q9DCA2	8any	1.000	0
Q8K2Y7	Q9DCU6	8any	1.000	0
Q8K2Y7	Q9ER88	8any	1.000	0
O55142	P51410	7oyc	1.000	0
O55142	Q9JJI8	7oyc	1.000	0
P04449	P0C0T4	8bn3	1.000	0
P0C0T4	P24000	8bn3	1.000	0
P0C0T4	P26783	8bn3	1.000	0
P14063	P28817	5mrc	1.000	0
P14063	P36519	5mrc	1.000	0
P14206	Q9CXW4	8q87	1.000	0
P18077	P62917	7oyc	1.000	0
P19253	P51410	7oyc	1.000	0
P19253	Q9JJI8	7oyc	1.000	0
P22354	P28817	5mrc	1.000	0
P22354	P36519	5mrc	1.000	0
P23638	P25451	8t0m	1.000	0
P25348	P28817	5mrc	1.000	0
P25348	P36519	5mrc	1.000	0
P25444	Q9CXW4	8q87	1.000	0
P25451	P30657	8t0m	1.000	0
P25642	P28817	5mrc	1.000	0
P25642	P36519	5mrc	1.000	0
P27659	Q9JJI8	7oyc	1.000	0
P28817	P32902	5mrc	1.000	0
P28817	P36519	5mrc	1.000	0
P28817	P36523	5mrc	1.000	0
P28817	P36525	5mrc	1.000	0
P28817	P36533	5mrc	1.000	0
P28817	P53724	5mrc	1.000	0
P28817	P53881	5mrc	1.000	0
P28817	Q06678	5mrc	1.000	0
P32902	P36519	5mrc	1.000	0
P35980	Q9CXW4	8q87	1.000	0
P36519	P36523	5mrc	1.000	0
P36519	P36525	5mrc	1.000	0
P36519	P36533	5mrc	1.000	0
P36519	P53724	5mrc	1.000	0
P36519	P53881	5mrc	1.000	0
P36519	Q06678	5mrc	1.000	0
P41105	Q9JJI8	7oyc	1.000	0
P51410	Q9CPR4	7oyc	1.000	0
P51410	Q9CXW4	7oyc	1.000	0
P51410	Q9JJI8	7oyc	1.000	0
P62702	Q9CXW4	8q87	1.000	0
P62717	Q9CXW4	8q87	1.000	0
P62913	P62917	7oyc	1.000	0
P63325	Q9CXW4	8q87	1.000	0
P97351	Q9CXW4	8q87	1.000	0
Q9CPR4	Q9JJI8	7oyc	1.000	0
Q9CQV5	Q9CXW2	7pnw	1.000	0
Q9CXW4	Q9JJI8	7oyc	1.000	0
Q9CZX8	Q9JJI8	7oyc	1.000	0
O09061	Q9R1P0	3une	1.000	0
O55142	P62918	7oyc	1.000	0
O55234	Q9R1P0	3une	1.000	0
O80646	Q9SGA6	8b2l	1.000	0
P00158	P00416	8ugj	1.000	0
P00158	Q9D855	8ugj	1.000	0
P05063	P05064	2quu	1.000	0
P13501	P16619	2vxw	1.000	0
P14206	P62918	8q87	1.000	0
P19253	P62918	7oyc	1.000	0
P22090	P62913	8q87	1.000	0
P22090	P62917	8q87	1.000	0
P24310	P24311	3ag1	1.000	0
P24310	Q8TF08	3ag1	1.000	0
P25444	P62918	8q87	1.000	0
P27659	P62918	7oyc	1.000	0
P35980	P62918	8q87	1.000	0
P38666	Q9SGA6	8b2l	1.000	0
P40429	P46783	8scb	1.000	0
P41105	P62918	8q87	1.000	0
P42798	Q9SGA6	8b2l	1.000	0
P46783	P62913	8q87	1.000	0
P46783	P62917	8q87	1.000	0
P48159	Q9W3W8	7oyc	1.000	0
P51410	P62918	7oyc	1.000	0
P56761	P56778	4yuu	1.000	0
P59169	Q9LZ45	8guk	1.000	0
P59226	Q9LZ45	8guk	1.000	0
P62263	P62829	9cai	1.000	0
P62264	P62830	9cai	1.000	0
P62701	P62913	8q87	1.000	0
P62701	P62917	8q87	1.000	0
P62702	P62918	8q87	1.000	0
P62717	P62918	8q87	1.000	0
P62899	P62913	8q87	1.000	0
P62899	P62917	8q87	1.000	0
P62913	Q02543	8q87	1.000	0
P62917	Q02543	8q87	1.000	0
P62918	P63325	8q87	1.000	0
P62918	P97351	8q87	1.000	0
P62918	Q9CPR4	7oyc	1.000	0
P62918	Q9CXW4	7oyc	1.000	0
P62918	Q9CZX8	8q87	1.000	0
P62918	Q9JJI8	7oyc	1.000	0
Q42347	Q9SGA6	8b2l	1.000	0
Q8L8W6	Q9SGA6	8b2l	1.000	0
Q9FXI7	Q9LZ45	8guk	1.000	0
Q9LR02	Q9LZ45	8guk	1.000	0
Q9LX88	Q9SGA6	8b2l	1.000	0
Q9R1P0	Q9R1P3	3une	1.000	0
Q9W237	Q9W3W8	7oyc	1.000	0
O15239	P28331	6zkh	1.000	0
O55142	P62702	7oyc	1.000	0
P01594	P0DP04	6axl	1.000	1
P02104	P04444	3dhr	1.000	0
P0A7U7	P60438	8a3l	1.000	0
P0CX25	P41056	8c3a	1.000	0
P0CX25	Q3E7Y3	8c3a	1.000	0
P16104	P68431	6ke9	1.000	0
P16104	P84243	6ke9	1.000	0
P16104	Q16695	6ke9	1.000	0
P16104	Q5TEC6	6ke9	1.000	0
P16104	Q6NXT2	6ke9	1.000	0
P16104	Q71DI3	6ke9	1.000	0
P18077	P62701	7oyc	1.000	0
P19253	P62702	7oyc	1.000	0
P28070	P28072	8fz5	1.000	0
P28072	P49720	8fz5	1.000	0
P35996	P36525	3j6b	1.000	0
P36873	P62136	6zej	1.000	0
P36873	P62140	6zej	1.000	0
P41058	P46784	7qiz	1.000	0
P62702	Q9CPR4	7oyc	1.000	0
P62702	Q9JJI8	7oyc	1.000	0
P00044	P00431	4nfg	0.999	0
P18077	P63173	7oyc	0.999	0
P27659	P62889	7oyb	0.999	0
P35980	Q9CQR2	5lzz	0.999	0
P42799	Q42522	2hoy	0.999	0
P62701	P63173	7oyc	0.999	0
P62888	P62917	7oyb	0.999	0
P62913	P63173	7oyc	0.999	0
P62917	P63173	7oyc	0.999	0
Q8K2Y7	Q9D8P4	8any	0.999	0
Q99N91	Q9D8P4	8any	0.999	0
Q99N93	Q9D8P4	8any	0.999	0
Q9CPW4	Q9CVB6	2p9p	0.999	0
Q9CR88	Q9D8P4	8any	0.999	0
Q9CY16	Q9D8P4	8any	0.999	0
Q9D7N6	Q9D8P4	8any	0.999	0
Q9D8P4	Q9DCA2	8any	0.999	0
Q9D8P4	Q9DCU6	8any	0.999	0
Q9D8P4	Q9ER88	8any	0.999	0
O80646	P42795	8q87	0.999	0
P23724	P30657	3okj	0.999	0
P32322	Q96C36	5uau	0.999	0
P42795	P42798	8q87	0.999	0
P42795	Q9LX88	8q87	0.999	0
P56778	P83755	4yuu	0.999	0
P62701	P63220	6w2t	0.999	0
P62889	P62918	7oyb	0.999	0
Q42577	Q42599	8ugp	0.999	0
Q42577	Q9FX83	8ugp	0.999	0
Q8VZ19	Q9FJX2	7r81	0.999	0
Q9C8F7	Q9FJX2	7r81	0.999	0
