accession	go_term	branch	confidence	arm	outcome	source
A0A8I4SYN6	GO:0003677	molecular_function	0.9700	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A8I4SYN6	GO:0003682	molecular_function	0.9700	SS	unconfirmed	GOA-timesplit-2023-07-12
A0ABA7IXB0	GO:0005515	molecular_function	0.5590	SS	unconfirmed	GOA-timesplit-2023-07-12
A0ABA7IXB0	GO:0001618	molecular_function	0.3960	SS	unconfirmed	GOA-timesplit-2023-07-12
A0ABA7IXB0	GO:0042802	molecular_function	0.3760	SS	unconfirmed	GOA-timesplit-2023-07-12
A0JPZ8	GO:0000981	molecular_function	0.6530	SS	supported	GOA-timesplit-2023-07-12
A0JPZ8	GO:0000976	molecular_function	0.4750	SS	supported	GOA-timesplit-2023-07-12
A0JPZ8	GO:0005515	molecular_function	0.3630	SS	unconfirmed	GOA-timesplit-2023-07-12
A1IGU5	GO:0005085	molecular_function	0.3100	SS	unconfirmed	GOA-timesplit-2023-07-12
A1IGU5	GO:0005154	molecular_function	0.3100	SS	unconfirmed	GOA-timesplit-2023-07-12
A1IGU5	GO:0004715	molecular_function	0.3090	SS	unconfirmed	GOA-timesplit-2023-07-12
A1L4Y1	GO:0005515	molecular_function	0.3350	SS	supported	GOA-timesplit-2023-07-12
A1L4Y1	GO:0015105	molecular_function	0.3270	SS	unconfirmed	GOA-timesplit-2023-07-12
A1L4Y1	GO:0032977	molecular_function	0.3270	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z707	GO:0004368	molecular_function	0.4300	SS	supported	GOA-timesplit-2023-07-12
A1Z739	GO:0003846	molecular_function	0.4020	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z739	GO:0004144	molecular_function	0.4020	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z739	GO:0042803	molecular_function	0.3940	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z830	GO:0005515	molecular_function	0.4830	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z830	GO:0035198	molecular_function	0.4830	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z838	GO:0051377	molecular_function	0.3240	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z8T6	GO:0022857	molecular_function	0.7385	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z8U7	GO:0005515	molecular_function	0.5223	SS	supported	GOA-timesplit-2023-07-12
A1Z917	GO:0004803	molecular_function	0.5193	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z917	GO:0043565	molecular_function	0.3807	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z935	GO:0003682	molecular_function	0.5320	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z935	GO:0005385	molecular_function	0.5320	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z935	GO:0016922	molecular_function	0.5320	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9F4	GO:0003951	molecular_function	0.6330	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9F4	GO:0005515	molecular_function	0.6330	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9F4	GO:0042736	molecular_function	0.4210	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9G9	GO:0005515	molecular_function	0.5941	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9G9	GO:0000993	molecular_function	0.5833	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9G9	GO:0003682	molecular_function	0.5628	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9L9	GO:0005515	molecular_function	0.3520	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9L9	GO:0044877	molecular_function	0.3520	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9L9	GO:0015116	molecular_function	0.3470	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9M0	GO:0015116	molecular_function	0.3640	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9M0	GO:0015131	molecular_function	0.3640	SS	unconfirmed	GOA-timesplit-2023-07-12
A1Z9M0	GO:0034658	molecular_function	0.3640	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZA77	GO:0005515	molecular_function	0.4360	SS	supported	GOA-timesplit-2023-07-12
A1ZAD7	GO:0000049	molecular_function	0.4690	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZAD7	GO:0005515	molecular_function	0.4690	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZAD7	GO:0043023	molecular_function	0.4690	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZAG4	GO:0003950	molecular_function	0.6022	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZAG4	GO:0019900	molecular_function	0.6022	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZAG4	GO:0043539	molecular_function	0.6022	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZAW7	GO:0005515	molecular_function	0.7490	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZAX2	GO:0002039	molecular_function	0.5160	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZAX2	GO:1990050	molecular_function	0.5160	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZB29	GO:0004550	molecular_function	0.4850	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZB29	GO:0004798	molecular_function	0.4850	SS	supported	GOA-timesplit-2023-07-12
A1ZB29	GO:0005515	molecular_function	0.4850	SS	unconfirmed	GOA-timesplit-2023-07-12
A1ZB84	GO:0016780	molecular_function	0.3490	SS	unconfirmed	GOA-timesplit-2023-07-12
