accession	branch	go_term	score	tier	streams	structure_only
A0A075B734	molecular_function	GO:0015254	0.6250	MEDIUM	dom	0
A0A075B734	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A075B734	molecular_function	GO:0015204	0.3750	LOW	dom	0
A0A075B767	molecular_function	GO:0003723	0.8520	HIGH	seq+struct+dom	0
A0A075B767	molecular_function	GO:0003755	0.8520	HIGH	seq+struct+dom	0
A0A075B767	molecular_function	GO:0005515	0.8520	HIGH	seq+struct+dom	0
A0A075B767	molecular_function	GO:1904399	0.8520	HIGH	seq+struct+dom	0
A0A075B767	molecular_function	GO:0003729	0.5980	MEDIUM	seq+struct+dom	0
A0A075B7B6	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B7B6	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B7B8	molecular_function	GO:0042802	0.3170	LOW	seq+struct+dom	0
A0A075B7D8	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B7D8	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A087WNP5	molecular_function	GO:0005488	0.7875	HIGH	dom	0
A0A087WNP5	molecular_function	GO:0005515	0.7125	HIGH	dom	0
A0A087WNW5	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WP11	molecular_function	GO:0003677	1.0000	HIGH	dom	0
A0A087WP11	molecular_function	GO:0030527	1.0000	HIGH	dom	0
A0A087WP11	molecular_function	GO:0046982	1.0000	HIGH	dom	0
A0A087WP21	molecular_function	GO:0005515	0.7500	HIGH	dom	0
A0A087WP35	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WPA5	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WPC3	molecular_function	GO:0004497	1.0000	HIGH	dom	0
A0A087WPC3	molecular_function	GO:0005506	1.0000	HIGH	dom	0
A0A087WPC3	molecular_function	GO:0016705	1.0000	HIGH	dom	0
A0A087WPC3	molecular_function	GO:0020037	1.0000	HIGH	dom	0
A0A087WPC3	molecular_function	GO:0016712	0.5357	MEDIUM	dom	0
A0A087WPJ9	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WPW0	molecular_function	GO:0005515	0.7500	HIGH	dom	0
A0A087WQ19	molecular_function	GO:0140566	0.8571	HIGH	dom	0
A0A087WQ19	molecular_function	GO:0005515	0.7143	HIGH	dom	0
A0A087WQ19	molecular_function	GO:0140002	0.7143	HIGH	dom	0
A0A087WQL3	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WR14	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WR36	molecular_function	GO:0016503	1.0000	HIGH	dom	0
A0A087WR36	molecular_function	GO:0005488	0.4842	MEDIUM	dom	0
A0A087WR36	molecular_function	GO:0005515	0.4384	LOW	dom	0
A0A087WR44	molecular_function	GO:0005515	1.0000	HIGH	dom	0
A0A087WR99	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WRH0	molecular_function	GO:0005488	0.7875	HIGH	dom	0
A0A087WRH0	molecular_function	GO:0005515	0.7125	HIGH	dom	0
A0A087WRJ1	molecular_function	GO:0005488	0.7875	HIGH	dom	0
A0A087WRJ1	molecular_function	GO:0005515	0.7125	HIGH	dom	0
A0A087WRK3	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WRT7	molecular_function	GO:0005488	0.8333	HIGH	dom	0
A0A087WRT7	molecular_function	GO:0005515	0.7500	HIGH	dom	0
A0A087WRT9	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WRX0	molecular_function	GO:0005515	0.7500	HIGH	dom	0
A0A087WRX0	molecular_function	GO:0098772	0.3333	LOW	dom	0
A0A087WRX0	molecular_function	GO:0004674	0.3038	LOW	dom	0
A0A087WRX0	molecular_function	GO:0038023	0.3038	LOW	dom	0
A0A087WSA6	molecular_function	GO:0004672	1.0000	HIGH	dom	0
A0A087WSA6	molecular_function	GO:0005524	1.0000	HIGH	dom	0
A0A087WSA6	molecular_function	GO:0005515	0.7464	HIGH	dom	0
A0A087WSA6	molecular_function	GO:0004674	0.4963	MEDIUM	dom	0
A0A087WSM5	molecular_function	GO:0140566	0.8571	HIGH	dom	0
A0A087WSM5	molecular_function	GO:0005515	0.7143	HIGH	dom	0
A0A087WSM5	molecular_function	GO:0140002	0.7143	HIGH	dom	0
A0A087WSN2	molecular_function	GO:0005515	1.0000	HIGH	dom	0
A0A087WSS0	molecular_function	GO:0005515	0.5000	MEDIUM	dom	0
A0A087WSX0	molecular_function	GO:0005515	0.8379	HIGH	seq+struct+dom	0
A0A087WSX0	molecular_function	GO:0042802	0.5022	MEDIUM	seq+struct+dom	0
A0A087WSY6	molecular_function	GO:0042802	0.6520	MEDIUM	seq+struct+dom	0
A0A087WSZ0	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A087WSZ0	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A087WT02	molecular_function	GO:0005488	0.7785	HIGH	seq+struct+dom	0
A0A087WT02	molecular_function	GO:0005515	0.7671	HIGH	seq+struct+dom	0
A0A087WT02	molecular_function	GO:0042802	0.3722	LOW	seq+struct+dom	0
A0A087WV62	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A087WV62	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A087WW87	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A087WW87	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A087WYE8	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A087WYE8	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A0A0MS06	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A0MS06	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A0MS14	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A0MS14	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YVW3	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YVW3	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YW33	molecular_function	GO:0003735	1.0000	HIGH	dom	0
A0A0A6YW33	molecular_function	GO:0005488	0.4364	LOW	dom	0
A0A0A6YW33	molecular_function	GO:0003676	0.3636	LOW	dom	0
A0A0A6YW33	molecular_function	GO:0003723	0.3455	LOW	dom	0
A0A0A6YW58	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YW58	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YWG4	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YWG4	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YWI9	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YWI9	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YWS7	molecular_function	GO:0005515	1.0000	HIGH	dom	0
A0A0A6YWS7	molecular_function	GO:0140096	0.4194	LOW	dom	0
A0A0A6YWS7	molecular_function	GO:0004842	0.3065	LOW	dom	0
A0A0A6YWU3	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YWU3	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YXA5	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YXA5	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YXF1	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YXF1	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YXN8	molecular_function	GO:0005515	0.8000	HIGH	dom	0
A0A0A6YXQ0	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YXQ0	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YYC5	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YYC5	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YYD4	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YYD4	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YYE2	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YYE2	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YYE5	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A0A6YYE5	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A0A6YYG2	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YYG2	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YYG3	molecular_function	GO:0005488	0.7835	HIGH	seq+struct+dom	0
A0A0A6YYG3	molecular_function	GO:0005515	0.7724	HIGH	seq+struct+dom	0
A0A0A6YYG3	molecular_function	GO:0042802	0.3863	LOW	seq+struct+dom	0
A0A0A6YYK1	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YYK1	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0A6YYK6	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0A6YYK6	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1G8	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1G8	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1H0	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1H0	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1H3	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1H3	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1H5	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1H5	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1I0	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A0B4J1I0	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A0B4J1I3	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A0B4J1I3	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A0B4J1I4	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A0B4J1I4	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A0B4J1I7	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A0B4J1I7	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A0B4J1J1	molecular_function	GO:0005488	0.7761	HIGH	dom	0
A0A0B4J1J1	molecular_function	GO:0005515	0.7642	HIGH	dom	0
A0A0B4J1J7	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1J7	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1K3	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1K3	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1K5	molecular_function	GO:0005488	0.7761	HIGH	dom	0
A0A0B4J1K5	molecular_function	GO:0005515	0.7642	HIGH	dom	0
A0A0B4J1L0	molecular_function	GO:0005515	0.7927	HIGH	dom	0
A0A0B4J1M0	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1M0	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1N0	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1N0	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1V1	molecular_function	GO:0042802	0.3060	LOW	seq+struct+dom	0
A0A0B4J1V6	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A0B4J1V6	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A0B4J1X5	molecular_function	GO:0042802	0.3020	LOW	seq+struct+dom	0
A0A0B4J1X8	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J1X8	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J1Y8	molecular_function	GO:0005488	0.7761	HIGH	dom	0
A0A0B4J1Y8	molecular_function	GO:0005515	0.7642	HIGH	dom	0
A0A0B4J237	molecular_function	GO:0005488	0.7941	HIGH	seq+struct+dom	0
A0A0B4J237	molecular_function	GO:0005515	0.7835	HIGH	seq+struct+dom	0
A0A0B4J237	molecular_function	GO:0042802	0.4164	LOW	seq+struct+dom	0
A0A0B4J241	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A0B4J241	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A0B4J244	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A0B4J244	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A0B4J248	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J248	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J249	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J249	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J262	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A0B4J262	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A0B4J265	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J265	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J266	molecular_function	GO:0005515	0.8160	HIGH	seq+struct+dom	0
A0A0B4J266	molecular_function	GO:0042802	0.4880	MEDIUM	seq+struct+dom	0
A0A0B4J268	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J268	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J271	molecular_function	GO:0005515	0.8055	HIGH	seq+struct+dom	0
A0A0B4J271	molecular_function	GO:0038023	0.4098	LOW	seq+struct+dom	0
A0A0B4J271	molecular_function	GO:0042802	0.4049	LOW	seq+struct+dom	0
A0A0B4J271	molecular_function	GO:0004888	0.3804	LOW	seq+struct+dom	0
A0A0B4J271	molecular_function	GO:0005102	0.3793	LOW	seq+dom	0
A0A0B4J273	molecular_function	GO:0005515	0.8298	HIGH	seq+struct+dom	0
A0A0B4J273	molecular_function	GO:0042802	0.4314	LOW	seq+struct+dom	0
A0A0B4J274	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J274	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J276	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A0B4J276	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A0B4J279	molecular_function	GO:0005515	0.8068	HIGH	seq+struct+dom	0
A0A0B4J279	molecular_function	GO:0042802	0.4128	LOW	seq+struct+dom	0
A0A0B4J280	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A0B4J280	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A0B4J2A2	molecular_function	GO:0003723	0.8710	HIGH	seq+struct+dom	0
